City,Country,Year,Ds,Event,discipline,category,rank,firstname,lastname,country,yob,Qualification 1 score,Qualification 1 rank,Qualification 2 score,Qualification 2 rank,Qualification score,Qualification rank,Semi-Final score,Semi-Final rank,Final score,Final rank
Innsbruck,AUT,2021,BL,WC,lead,Men,1,Jakob,Schubert,AUT,1990,38,1,38+,3,1.73,2,39+,3,47+,1
Innsbruck,AUT,2021,BL,WC,lead,Men,2,Stefano,Ghisolfi,ITA,1993,37,3,35,6,5.1,4,31+,8,47,2
Innsbruck,AUT,2021,BL,WC,lead,Men,3,Sascha,Lehmann,SUI,1998,34+,8,31+,14,11.62,8,39+,4,38+,3
Innsbruck,AUT,2021,BL,WC,lead,Men,4,Masahiro,Higuchi,JPN,1992,37,3,11,89,18.97,16,34+,7,38+,4
Innsbruck,AUT,2021,BL,WC,lead,Men,5,Alberto,Ginés López,ESP,2002,32,16,34+,8,12.33,11,41+,2,37+,5
Innsbruck,AUT,2021,BL,WC,lead,Men,6,Alexander,Megos,GER,1993,37,3,39+,2,2.83,3,38+,6,37+,6
Innsbruck,AUT,2021,BL,WC,lead,Men,7,Luka,Potocar,SLO,2001,32+,13,23,34,21.82,21,39+,5,27+,7
Innsbruck,AUT,2021,BL,WC,lead,Men,8,Adam,Ondra,CZE,1993,37+,2,TOP,1,1.41,1,42+,1,17,8
Innsbruck,AUT,2021,BL,WC,lead,Men,9,Tomoa,Narasaki,JPN,1996,34+,8,34+,8,9.25,7,31+,9,,
Innsbruck,AUT,2021,BL,WC,lead,Men,10,Ao,YURIKUSA,JPN,2002,34+,8,31+,14,11.62,8,31+,10,,
Innsbruck,AUT,2021,BL,WC,lead,Men,11,Kokoro,Fujii,JPN,1992,33,11,34,12,11.75,10,31+,11,,
Innsbruck,AUT,2021,BL,WC,lead,Men,12,Martin,Stranik,CZE,1990,24+,32,35,6,16.42,13,31,12,,
Innsbruck,AUT,2021,BL,WC,lead,Men,13,Martin,Bergant,SLO,1996,32+,13,29,23,18.52,15,30+,13,,
Innsbruck,AUT,2021,BL,WC,lead,Men,14,Hannes,Puman,SWE,1997,24+,32,29+,19,29.17,24,30,14,,
Innsbruck,AUT,2021,BL,WC,lead,Men,15,Peter,Kuric,SVK,2001,31,18,29,23,21.58,20,27+,15,,
Innsbruck,AUT,2021,BL,WC,lead,Men,16,Anthony,Gullsten,FIN,1991,24+,32,32+,13,23.23,22,27+,16,,
Innsbruck,AUT,2021,BL,WC,lead,Men,17,Domen,Skofic,SLO,1994,35+,6,37,4,5.1,4,27,17,,
Innsbruck,AUT,2021,BL,WC,lead,Men,18,Nicolas,Collin,BEL,1998,31,18,30+,17,18.23,14,26+,18,,
