City,Country,Year,Ds,Event,discipline,category,rank,firstname,lastname,country,yob,Qualification score,Qualification rank,Semi-Final score,Semi-Final rank,1/8 score,1/4 score,1/2 score,Small Final score,Final score,Final rank
Salt Lake City,USA,2021,BS,WC,speed,Men,1,VEDDRIQ,LEONARDO,INA,1997,5.37,2,,,5.55,5.42,5.38,,5.20 (WR),1
Salt Lake City,USA,2021,BS,WC,speed,Men,2,KIROMAL,KATIBIN,INA,2000,5.25 (WR),1,,,5.49,WILDCARD,5.35,,FALL,2
Salt Lake City,USA,2021,BS,WC,speed,Men,3,Marcin,Dzienski,POL,1993,5.9,4,,,6.22,5.88,5.77,5.84,,3
Salt Lake City,USA,2021,BS,WC,speed,Men,4,John,Brosler,USA,1997,5.60 (R),3,,,5.72,5.98,5.76,6.89,,4
Salt Lake City,USA,2021,BS,WC,speed,Men,5,Merritt,Ernsberger,USA,1999,6.19,11,,,7.82,6.13,,,,5
Salt Lake City,USA,2021,BS,WC,speed,Men,6,Jun,YASUKAWA,JPN,2003,6.253,12,,,6.18,6.23,,,,6
Salt Lake City,USA,2021,BS,WC,speed,Men,7,Pierre,Rebreyend,FRA,1997,6.14,9,,,5.94,FALSE START,,,,7
Salt Lake City,USA,2021,BS,WC,speed,Men,8,Yaroslav,Tkach,UKR,2001,6.17,10,,,6.5,FALL,,,,8
Salt Lake City,USA,2021,BS,WC,speed,Men,9,Ludovico,Fossali,ITA,1997,6.09,8,,,5.95,,,,,9
Salt Lake City,USA,2021,BS,WC,speed,Men,10,Guillaume,Moro,FRA,1994,6.36,16,,,6.12,,,,,10
Salt Lake City,USA,2021,BS,WC,speed,Men,11,Mickael,Mawem,FRA,1990,6.28,14,,,6.79,,,,,11
Salt Lake City,USA,2021,BS,WC,speed,Men,12,Michael,Finn-Henry,CAN,1999,6.255,13,,,7.79,,,,,12
Salt Lake City,USA,2021,BS,WC,speed,Men,13,Gian Luca,Zodda,ITA,1999,6.06,7,,,7.88,,,,,13
Salt Lake City,USA,2021,BS,WC,speed,Men,14,Kostiantyn,Pavlenko,UKR,1998,6.02,5,,,8.28,,,,,14
Salt Lake City,USA,2021,BS,WC,speed,Men,15,Carlos,Granja,ECU,1999,6.03,6,,,8.73,,,,,15
Salt Lake City,USA,2021,BS,WC,speed,Men,16,Linus,Bader,GER,2002,6.32,15,,,11.09,,,,,16
