discipline;category;rank;firstname;lastname;country;yob;Qualification score;Qualification rank;Semi-final score;Semi-final rank;Final score;Final rank
boulder;Men;1;Yannick;Flohé;GER;1999;5T5z 8 5;1;3T4z 8 10;1;2T4z 5 9;1
boulder;Men;2;Maximillian;Milne;GBR;2000;3T5z 9 9;7;2T3z 2 3;4;2T3z 6 9;2
boulder;Men;3;Tomoa;Narasaki;JPN;1996;3T5z 11 9;9;2T4z 6 7;3;1T4z 4 9;3
boulder;Men;4;Dohyun;LEE;KOR;2002;3T5z 7 11;5;2T3z 5 5;6;1T4z 4 22;4
boulder;Men;5;Yoshiyuki;Ogata;JPN;1998;3T5z 7 8;3;2T3z 3 4;5;1T4z 7 13;5
boulder;Men;6;Meichi;Narasaki;JPN;1999;3T5z 5 7;19;3T3z 10 5;2;1T3z 2 8;6
boulder;Men;7;Jan-Luca;Posch;AUT;1998;2T3z 7 6;19;2T3z 7 5;7;;
boulder;Men;8;Jakob;Schubert;AUT;1990;4T5z 5 7;5;2T3z 7 7;8;;
boulder;Men;9;Kokoro;Fujii;JPN;1992;5T5z 12 12;3;2T3z 10 10;9;;
boulder;Men;10;Alexander;Megos;GER;1993;2T5z 3 13;17;2T3z 11 9;10;;
boulder;Men;11;Jongwon;CHON;KOR;1996;4T5z 11 11;15;1T4z 4 12;11;;
boulder;Men;12;Mickael;Mawem;FRA;1990;3T4z 13 9;15;1T3z 1 6;12;;
boulder;Men;13;Simon;Lorenzi;BEL;1997;4T5z 8 7;11;1T3z 2 5;13;;
boulder;Men;14;Rei;Kawamata;JPN;2003;4T5z 7 6;9;1T3z 2 10;14;;
boulder;Men;15;Hamish;McArthur;GBR;2002;3T5z 6 8;1;1T3z 2 11;15;;
boulder;Men;16;Yuji;Inoue;JPN;1995;4T5z 9 7;13;1T3z 6 9;16;;
boulder;Men;17;Max;Kleesattel;GER;1998;3T5z 14 13;11;0T3z 0 7;17;;
boulder;Men;18;Nimrod;Marcus;ISR;1999;4T5z 13 11;17;0T3z 0 8;18;;
boulder;Men;19;Philipp;Martin;GER;1994;3T4z 11 10;13;0T3z 0 9;19;;
boulder;Men;20;Mathieu;Ternant;FRA;1996;4T5z 6 6;7;0T3z 0 14;20;;
boulder;Men;21;Anze;Peharc;SLO;1997;3T5z 6 7;21;;;;
boulder;Men;21;Edvards;Gruzitis;LAT;2004;2T3z 13 15;21;;;;
boulder;Men;23;Sascha;Lehmann;SUI;1998;3T5z 6 8;23;;;;
boulder;Men;23;Sam;Avezou;FRA;2001;1T5z 1 7;23;;;;
boulder;Men;25;Nathan;Phillips;GBR;1994;1T5z 1 8;25;;;;
boulder;Men;25;Christoph;Schweiger;GER;2001;3T5z 7 7;25;;;;
boulder;Men;27;Alex;Khazanov;ISR;1995;1T5z 4 18;27;;;;
boulder;Men;27;Alex;Waterhouse;GBR;1997;3T5z 8 11;27;;;;
boulder;Men;29;Nicolai;Uznik;AUT;2000;3T5z 9 13;29;;;;
boulder;Men;29;YUFEI;PAN;CHN;2000;1T5z 5 26;29;;;;
boulder;Men;31;Sean;Bailey;USA;1996;3T5z 12 13;31;;;;
boulder;Men;31;Matic;Kotar;SLO;1999;1T4z 2 8;31;;;;
boulder;Men;33;Jernej;Kruder;SLO;1990;3T4z 4 10;33;;;;
boulder;Men;33;Gholamali;Baratzadeh;IRI;1985;1T4z 2 11;33;;;;
boulder;Men;35;Keita;Dohi;JPN;2000;1T4z 3 6;35;;;;
boulder;Men;35;Benjamin;Hanna;USA;1998;3T4z 9 10;35;;;;
boulder;Men;35;Zach;Galla;USA;2000;1T4z 3 6;35;;;;
boulder;Men;38;Michael;Piccolruaz;ITA;1995;2T5z 2 11;38;;;;
boulder;Men;39;Zan;Lovenjak Sudar;SLO;1998;1T4z 9 17;39;;;;
boulder;Men;39;Nicolas;Collin;BEL;1998;2T5z 12 20;39;;;;
boulder;Men;41;Colin;Duffy;USA;2003;1T3z 1 14;41;;;;
boulder;Men;41;Nils;Favre;SUI;1991;2T4z 3 13;41;;;;
boulder;Men;43;Tomoaki;Takata;JPN;1995;1T3z 9 6;43;;;;
boulder;Men;43;Yotam;Ben reuven;ISR;2001;2T3z 4 4;43;;;;
boulder;Men;45;Gregor;Vezonik;SLO;1995;2T3z 8 6;45;;;;
boulder;Men;45;Victor;Baudrand;CAN;2003;1T2z 3 9;45;;;;
boulder;Men;47;Thilo Jeldrik;Schröter;NOR;1996;1T1z 7 4;47;;;;
boulder;Men;47;Michele;Bono;ITA;2003;1T5z 11 17;47;;;;
boulder;Men;49;Nino;Grünenfelder;SUI;2001;0T4z 0 11;49;;;;
boulder;Men;49;Nikolay;Rusev;BUL;2006;1T4z 1 5;49;;;;
