discipline;category;rank;firstname;lastname;country;yob;Qualification score;Qualification rank;Semi-Final score;Semi-Final rank;Final score;Final rank
boulder;Men;1;Adam;Ondra;CZE;1993;4T5z 14 9;1;3T3z 7 6;1;3T3z 10 7;1
boulder;Men;2;Yoshiyuki;Ogata;JPN;1998;2T5z 8 11;17;2T3z 6 8;3;2T4z 7 9;2
boulder;Men;3;Tomoaki;Takata;JPN;1995;2T5z 6 12;13;2T3z 5 6;2;1T4z 4 12;3
boulder;Men;4;Kokoro;Fujii;JPN;1992;4T5z 5 5;1;2T2z 6 2;6;1T3z 1 4;4
boulder;Men;5;Nathaniel;Coleman;USA;1997;3T5z 5 6;5;2T2z 4 3;5;1T3z 2 5;5
boulder;Men;6;Sohta;Amagasa;JPN;2000;3T5z 5 17;3;2T3z 10 11;4;0T3z 0 4;6
boulder;Men;7;Jernej;Kruder;SLO;1990;3T5z 11 11;5;2T2z 7 6;7;;
boulder;Men;8;Alexander;Megos;GER;1993;3T5z 8 9;9;2T2z 8 3;8;;
boulder;Men;9;Gregor;Vezonik;SLO;1995;2T5z 8 13;19;2T2z 10 10;9;;
boulder;Men;10;Domen;Skofic;SLO;1994;3T5z 3 6;3;1T2z 1 9;10;;
boulder;Men;11;Manuel;Cornu;FRA;1993;3T5z 14 17;7;1T2z 2 5;11;;
boulder;Men;12;Mejdi;Schalck;FRA;2004;2T5z 5 18;11;1T2z 2 6;12;;
boulder;Men;13;Sean;Bailey;USA;1996;2T5z 4 13;17;1T2z 3 3;13;;
boulder;Men;14;Nicolai;Uznik;AUT;2000;3T5z 6 6;7;1T2z 3 4;14;;
boulder;Men;15;Zan;Lovenjak Sudar;SLO;1998;3T4z 7 8;13;1T1z 1 1;15;;
boulder;Men;16;Ross;Fulkerson;USA;2001;2T5z 7 13;15;1T1z 2 1;16;;
boulder;Men;17;Aleksey;Rubtsov;RUS;1988;3T5z 10 7;11;1T1z 8 2;17;;
boulder;Men;18;Sascha;Lehmann;SUI;1998;2T5z 4 14;19;0T1z 0 4;18;;
boulder;Men;19;Yannick;Flohé;GER;1999;3T4z 12 7;15;0T1z 0 7;19;;
boulder;Men;19;Nicolas;Collin;BEL;1998;2T5z 4 13;9;0T1z 0 7;19;;
boulder;Men;21;Rei;Sugimoto;JPN;1991;2T5z 6 16;21;;;;
boulder;Men;21;Anze;Peharc;SLO;1997;2T5z 9 10;21;;;;
boulder;Men;23;Jan;Hojer;GER;1992;2T4z 3 6;23;;;;
boulder;Men;23;Jakob;Schubert;AUT;1990;2T5z 9 12;23;;;;
boulder;Men;25;Keita;Watabe;JPN;1993;2T4z 3 9;25;;;;
boulder;Men;25;Yuta;IMAIZUMI;JPN;2000;2T4z 6 11;25;;;;
boulder;Men;27;Michael;Piccolruaz;ITA;1995;2T3z 5 4;27;;;;
boulder;Men;27;Sergii;Topishko;UKR;1988;2T4z 5 7;27;;;;
boulder;Men;29;Alex;Khazanov;ISR;1995;2T4z 5 10;29;;;;
boulder;Men;29;Simon;Lorenzi;BEL;1997;1T5z 1 7;29;;;;
boulder;Men;31;Colin;Duffy;USA;2003;2T4z 10 13;31;;;;
boulder;Men;31;Nino;Grünenfelder;SUI;2001;1T5z 3 6;31;;;;
boulder;Men;33;Baptiste;Ometz;SUI;1998;1T5z 3 14;33;;;;
boulder;Men;33;Mark;Brand;NED;1998;2T4z 11 17;33;;;;
boulder;Men;35;Mickael;Mawem;FRA;1990;1T5z 3 15;35;;;;
boulder;Men;35;Julien;Clémence;SUI;2001;2T2z 8 8;35;;;;
boulder;Men;37;Nimrod;Marcus;ISR;1999;1T4z 3 7;37;;;;
boulder;Men;37;Paul;Jenft;FRA;2003;1T5z 3 11;37;;;;
boulder;Men;39;Sergei;Luzhetskii;RUS;1995;1T4z 4 10;39;;;;
boulder;Men;39;Pierre;Le Cerf;FRA;2000;1T5z 3 19;39;;;;
boulder;Men;41;Attila Zsombor;Radics;HUN;2004;1T3z 3 4;41;;;;
boulder;Men;41;Max;Kleesattel;GER;1998;1T5z 5 20;41;;;;
boulder;Men;43;Vadim;Timonov;RUS;1992;1T4z 2 6;43;;;;
boulder;Men;43;Dylan;Chuat;SUI;2000;0T5z 0 9;43;;;;
boulder;Men;45;Jan-Luca;Posch;AUT;1998;0T5z 0 16;45;;;;
boulder;Men;45;Edvards;Gruzitis;LAT;2004;1T4z 4 14;45;;;;
boulder;Men;47;Matic;Kotar;SLO;1999;1T4z 6 11;47;;;;
boulder;Men;47;Don;van Laere;NED;1999;0T4z 0 5;47;;;;
boulder;Men;49;Soma;Strommer;HUN;1999;0T4z 0 7;49;;;;
boulder;Men;49;Filip;Schenk;ITA;2000;1T3z 3 5;49;;;;
boulder;Men;49;Geva;Levin;ISR;2003;0T4z 0 7;49;;;;
boulder;Men;52;Christoph;Schweiger;GER;2001;1T3z 3 6;52;;;;
boulder;Men;53;Benjamin;Blaser;SUI;1990;0T4z 0 8;53;;;;
boulder;Men;53;Fedir;Samoilov;UKR;1997;0T4z 0 8;53;;;;
boulder;Men;53;Nils;Favre;SUI;1991;1T3z 4 5;53;;;;
boulder;Men;56;Tim;Reuser;NED;1993;1T3z 4 10;56;;;;
boulder;Men;57;Rolands;Rugens;LAT;1992;0T4z 0 9;57;;;;
boulder;Men;57;Fredrik;Serlachius;SWE;1998;1T3z 7 10;57;;;;
boulder;Men;59;Philipp;Geisenhoff;SUI;2000;0T4z 0 11;59;;;;
boulder;Men;59;Axel;Lindfors;FIN;1991;1T2z 3 5;59;;;;
boulder;Men;59;Davide Marco;Colombo;ITA;2002;0T4z 0 11;59;;;;
boulder;Men;62;Nimród Sebestyén;Tusnády ;HUN;2004;1T2z 5 5;62;;;;
boulder;Men;63;Mikel Asier;Linacisoro Molina;ESP;2000;0T4z 0 14;63;;;;
boulder;Men;63;Ties;Vancraeynest;BEL;2003;1T2z 6 11;63;;;;
boulder;Men;63;Ram;Levin;ISR;1998;0T4z 0 14;63;;;;
boulder;Men;66;Sergei;Skorodumov;RUS;1996;0T4z 0 15;66;;;;
boulder;Men;67;Nikolai;Iarilovets;RUS;1999;0T4z 0 16;67;;;;
boulder;Men;67;Emil;Abrahamsson;SWE;1996;0T4z 0 21;67;;;;
boulder;Men;69;Tamás;Farkas;HUN;1994;0T4z 0 18;69;;;;
boulder;Men;69;Yuval;Shemla;ISR;1998;0T3z 0 4;69;;;;
boulder;Men;69;Benjamin;Hanna;USA;1998;0T3z 0 4;69;;;;
boulder;Men;69;Kipras;Baltrunas;LTU;1992;0T3z 0 4;69;;;;
boulder;Men;73;Alberto;Ginés López;ESP;2002;0T3z 0 4;73;;;;
boulder;Men;74;Philipp;Martin;GER;1994;0T3z 0 6;74;;;;
boulder;Men;75;Kevin;Heiniger;SUI;1993;0T3z 0 6;75;;;;
boulder;Men;75;Hossein;Familrohani;IRI;1992;0T3z 0 13;75;;;;
boulder;Men;77;Rishat;Khaibullin;KAZ;1995;0T3z 0 8;77;;;;
boulder;Men;77;Ludovico;Fossali;ITA;1997;0T2z 0 3;77;;;;
boulder;Men;79;Love  Ymer;Alber;SWE;2000;0T2z 0 4;79;;;;
boulder;Men;79;Alejandro;Crespo Cobos;ESP;1998;0T2z 0 2;79;;;;
boulder;Men;79;Louis;Gundolf;AUT;2001;0T2z 0 4;79;;;;
boulder;Men;79;Hannes;Van Duysen;BEL;2004;0T2z 0 4;79;;;;
