discipline;category;rank;firstname;lastname;country;yob;Qualification score;Qualification rank;Semi-final score;Semi-final rank;Final score;Final rank
boulder;Men;1;Tomoa;Narasaki;JPN;1996;4T5z 6 8;1;4T4z 14 11;2;2T3z 3 6;1
boulder;Men;2;Yoshiyuki;Ogata;JPN;1998;4T5z 10 13;3;2T4z 5 6;5;2T3z 5 19;2
boulder;Men;3;Mejdi;Schalck;FRA;2004;4T5z 10 10;11;3T4z 8 5;3;2T3z 7 9;3
boulder;Men;4;Paul;Jenft;FRA;2003;4T5z 8 17;9;2T4z 5 7;6;2T3z 15 18;4
boulder;Men;5;Colin;Duffy;USA;2003;5T5z 14 12;3;3T4z 10 12;4;1T4z 19 27;5
boulder;Men;6;Kokoro;Fujii;JPN;1992;4T4z 16 7;17;4T4z 12 8;1;1T3z 4 27;6
boulder;Men;7;Yuji;Inoue;JPN;1995;3T5z 16 12;11;2T4z 8 9;7;;
boulder;Men;8;Maximillian;Milne;GBR;2000;4T5z 7 9;7;2T4z 9 20;8;;
boulder;Men;9;Keita;Dohi;JPN;2000;3T4z 7 5;13;2T3z 4 3;9;;
boulder;Men;10;Manuel;Cornu;FRA;1993;4T5z 15 13;13;2T3z 7 10;10;;
boulder;Men;11;Nicolai;Uznik;AUT;2000;3T4z 8 17;15;1T4z 2 14;11;;
boulder;Men;12;Mickael;Mawem;FRA;1990;4T4z 18 11;5;1T4z 2 16;12;;
boulder;Men;13;Gregor;Vezonik;SLO;1995;4T4z 19 9;7;1T4z 3 12;13;;
boulder;Men;14;Tomoaki;Takata;JPN;1995;3T4z 9 11;19;1T4z 5 11;14;;
boulder;Men;15;Benjamin;Hanna;USA;1998;3T5z 6 20;9;1T4z 6 13;15;;
boulder;Men;16;Alexander;Megos;GER;1993;5T5z 17 11;5;1T4z 7 10;16;;
boulder;Men;17;Anze;Peharc;SLO;1997;3T4z 9 10;17;1T3z 2 7;17;;
boulder;Men;18;Jernej;Kruder;SLO;1990;3T5z 7 13;19;0T4z 0 17;18;;
boulder;Men;19;Gholamali;Baratzadeh;IRI;1985;4T5z 15 16;15;0T3z 0 7;19;;
boulder;Men;20;Zan;Lovenjak Sudar;SLO;1998;5T5z 11 7;1;0T3z 0 8;20;;
boulder;Men;21;Nathaniel;Coleman;USA;1997;3T5z 9 17;21;;;;
boulder;Men;21;Nicolas;Collin;BEL;1998;3T4z 9 26;21;;;;
boulder;Men;23;Jongwon;CHON;KOR;1996;3T4z 4 7;23;;;;
boulder;Men;23;Kento;YAMAGUCHI;JPN;2002;3T4z 11 11;23;;;;
boulder;Men;25;Christoph;Schweiger;GER;2001;3T4z 13 11;25;;;;
boulder;Men;25;Martin;Bergant;SLO;1996;3T3z 8 7;25;;;;
boulder;Men;27;Ross;Fulkerson;USA;2001;3T3z 11 10;27;;;;
boulder;Men;27;Satone;YOSHIDA;JPN;2004;3T4z 15 18;27;;;;
boulder;Men;29;Sascha;Lehmann;SUI;1998;3T4z 17 19;29;;;;
boulder;Men;29;Sam;Avezou;FRA;2001;2T5z 4 18;29;;;;
boulder;Men;31;Hannes;Van Duysen;BEL;2004;2T5z 5 23;31;;;;
boulder;Men;31;Rei;Kawamata;JPN;2003;3T4z 20 20;31;;;;
boulder;Men;33;Nathan;Phillips;GBR;1994;2T5z 6 9;33;;;;
boulder;Men;33;Sean;McColl;CAN;1987;2T5z 7 12;33;;;;
boulder;Men;35;Geva;Levin;ISR;2003;2T4z 6 12;35;;;;
boulder;Men;35;Victor;Baudrand;CAN;2003;2T5z 12 23;35;;;;
boulder;Men;37;Jakob;Schubert;AUT;1990;2T4z 7 20;37;;;;
boulder;Men;37;Alex;Khazanov;ISR;1995;2T4z 2 7;37;;;;
boulder;Men;39;Simon;Lorenzi;BEL;1997;2T4z 4 4;39;;;;
boulder;Men;39;Florian;Klingler;AUT;1998;2T4z 8 11;39;;;;
boulder;Men;41;Hamish;McArthur;GBR;2002;2T4z 11 16;41;;;;
boulder;Men;41;Dohyun;LEE;KOR;2002;2T4z 4 9;41;;;;
boulder;Men;43;Alex;Waterhouse;GBR;1997;2T3z 2 7;43;;;;
boulder;Men;43;Ram;Levin;ISR;1998;2T4z 5 11;43;;;;
boulder;Men;45;Nimrod;Marcus;ISR;1999;2T4z 7 12;45;;;;
boulder;Men;45;Michael;Piccolruaz;ITA;1995;2T3z 7 7;45;;;;
boulder;Men;47;Sean;Bailey;USA;1996;2T4z 8 15;47;;;;
boulder;Men;47;Matic;Kotar;SLO;1999;2T2z 3 2;47;;;;
boulder;Men;49;Hannes;Puman;SWE;1997;1T5z 7 22;49;;;;
boulder;Men;49;Slav;Kirov;BUL;2005;2T2z 10 8;49;;;;
boulder;Men;51;William;Ridal;GBR;1997;1T5z 1 21;51;;;;
boulder;Men;51;Edvards;Gruzitis;LAT;2004;1T4z 2 12;51;;;;
boulder;Men;53;Jan-Luca;Posch;AUT;1998;1T5z 4 16;53;;;;
boulder;Men;53;Adrien;Lemaire;FRA;1999;1T4z 3 6;53;;;;
boulder;Men;55;Mark;Brand;NED;1998;1T4z 4 13;55;;;;
boulder;Men;55;Kim;Marschner;GER;1998;1T4z 4 16;55;;;;
boulder;Men;57;Nino;Grünenfelder;SUI;2001;1T3z 4 9;57;;;;
boulder;Men;57;Max;Kleesattel;GER;1998;1T4z 7 13;57;;;;
boulder;Men;59;Anthony;Gullsten;FIN;1991;1T4z 15 24;59;;;;
boulder;Men;59;Don;van Laere;NED;1999;1T3z 6 18;59;;;;
boulder;Men;59;Ben;Abel;AUS;1998;1T3z 6 18;59;;;;
boulder;Men;62;Kevin;Heiniger;SUI;1993;1T3z 3 6;62;;;;
boulder;Men;63;Oscar;Baudrand;CAN;2005;1T3z 6 22;63;;;;
boulder;Men;63;Piotr;Schab;POL;1996;1T2z 2 4;63;;;;
boulder;Men;65;Radin;Foroughian;IRI;2004;1T2z 4 6;65;;;;
boulder;Men;65;Pietro;Vidi;ITA;2002;1T2z 1 3;65;;;;
boulder;Men;67;Kipras;Baltrunas;LTU;1992;1T2z 2 4;67;;;;
boulder;Men;67;Marek;Jeliga;CZE;2003;1T2z 5 12;67;;;;
boulder;Men;69;Nils;Favre;SUI;1991;1T2z 3 6;69;;;;
