discipline;category;rank;firstname;lastname;country;yob;Qualification score;Qualification rank;Semi-Final score;Semi-Final rank;Final score;Final rank
boulder;Men;1;Adam;Ondra;CZE;1993;5T5z 14 12;2;2T3z 7 8;2;4T4z 8 7;1
boulder;Men;2;Mejdi;Schalck;FRA;2004;4T5z 7 10;3;1T3z 12 18;6;3T4z 4 5;2
boulder;Men;3;Jakob;Schubert;AUT;1990;4T4z 8 7;13;1T3z 3 6;4;3T3z 4 4;3
boulder;Men;4;Kokoro;Fujii;JPN;1992;4T4z 14 13;18;3T4z 16 18;1;3T3z 12 7;4
boulder;Men;5;Anze;Peharc;SLO;1997;4T5z 11 13;10;1T3z 4 7;5;1T3z 2 8;5
boulder;Men;6;Gregor;Vezonik;SLO;1995;4T5z 16 13;11;1T3z 2 5;3;1T2z 2 2;6
boulder;Men;7;Simon;Lorenzi;BEL;1997;4T4z 16 16;19;1T2z 3 5;7;;
boulder;Men;8;Sean;Bailey;USA;1996;4T4z 12 11;16;1T2z 5 7;8;;
boulder;Men;9;Alexander;Megos;GER;1993;4T5z 7 11;5;1T2z 9 9;9;;
boulder;Men;10;Mickael;Mawem;FRA;1990;4T5z 8 9;6;0T4z 0 8;10;;
boulder;Men;11;Nicolai;Uznik;AUT;2000;4T5z 10 14;7;0T3z 0 8;11;;
boulder;Men;12;Michael;Piccolruaz;ITA;1995;4T4z 8 7;13;0T3z 0 14;12;;
boulder;Men;13;Colin;Duffy;USA;2003;4T5z 11 10;8;0T3z 0 15;13;;
boulder;Men;14;Sohta;Amagasa;JPN;2000;4T5z 11 12;9;0T3z 0 15;14;;
boulder;Men;15;Aleksey;Rubtsov;RUS;1988;4T4z 6 5;12;0T3z 0 15;15;;
boulder;Men;16;Yoshiyuki;Ogata;JPN;1998;5T5z 12 10;1;0T3z 0 16;16;;
boulder;Men;17;Rei;Sugimoto;JPN;1991;4T5z 7 10;3;0T2z 0 5;17;;
boulder;Men;18;Philipp;Martin;GER;1994;3T5z 6 15;20;0T2z 0 8;18;;
boulder;Men;19;Jan;Hojer;GER;1992;4T4z 13 10;17;0T2z 0 10;19;;
boulder;Men;20;Christoph;Schweiger;GER;2001;4T4z 12 10;15;0T1z 0 3;20;;
boulder;Men;21;Nathaniel;Coleman;USA;1997;3T5z 8 8;21;;;;
boulder;Men;22;Tomoaki;Takata;JPN;1995;3T5z 12 13;22;;;;
boulder;Men;23;Matthew;Cousins;GBR;1989;3T4z 4 5;23;;;;
