discipline;category;rank;firstname;lastname;country;yob;Qualification 1 score;Qualification 1 rank;Qualification 2 score;Qualification 2 rank;Qualification score;Qualification rank;Semi-Final score;Semi-Final rank;Final score;Final rank
lead;Men;1;Jakob;Schubert;AUT;1990;38;1;38+;3;1.73;2;39+;3;47+;1
lead;Men;2;Stefano;Ghisolfi;ITA;1993;37;3;35;6;5.1;4;31+;8;47;2
lead;Men;3;Sascha;Lehmann;SUI;1998;34+;8;31+;14;11.62;8;39+;4;38+;3
lead;Men;4;Masahiro;Higuchi;JPN;1992;37;3;11;89;18.97;16;34+;7;38+;4
lead;Men;5;Alberto;Ginés López;ESP;2002;32;16;34+;8;12.33;11;41+;2;37+;5
lead;Men;6;Alexander;Megos;GER;1993;37;3;39+;2;2.83;3;38+;6;37+;6
lead;Men;7;Luka;Potocar;SLO;2001;32+;13;23;34;21.82;21;39+;5;27+;7
lead;Men;8;Adam;Ondra;CZE;1993;37+;2;TOP;1;1.41;1;42+;1;17;8
lead;Men;9;Tomoa;Narasaki;JPN;1996;34+;8;34+;8;9.25;7;31+;9;;
lead;Men;10;Ao;YURIKUSA;JPN;2002;34+;8;31+;14;11.62;8;31+;10;;
lead;Men;11;Kokoro;Fujii;JPN;1992;33;11;34;12;11.75;10;31+;11;;
lead;Men;12;Martin;Stranik;CZE;1990;24+;32;35;6;16.42;13;31;12;;
lead;Men;13;Martin;Bergant;SLO;1996;32+;13;29;23;18.52;15;30+;13;;
lead;Men;14;Hannes;Puman;SWE;1997;24+;32;29+;19;29.17;24;30;14;;
lead;Men;15;Peter;Kuric;SVK;2001;31;18;29;23;21.58;20;27+;15;;
lead;Men;16;Anthony;Gullsten;FIN;1991;24+;32;32+;13;23.23;22;27+;16;;
lead;Men;17;Domen;Skofic;SLO;1994;35+;6;37;4;5.1;4;27;17;;
lead;Men;18;Nicolas;Collin;BEL;1998;31;18;30+;17;18.23;14;26+;18;;
lead;Men;19;Paul;Jenft;FRA;2003;24+;32;34+;8;19.86;18;26;19;;
lead;Men;20;Satone;YOSHIDA;JPN;2004;33;11;31+;14;13.13;12;25+;20;;
lead;Men;21;Colin;Duffy;USA;2003;35+;6;35+;5;5.7;6;25;21;;
lead;Men;22;Christoph;Hanke;GER;1994;32+;13;18+;42;27.87;23;25;22;;
lead;Men;23;Dylan;Chuat;SUI;2000;24+;32;29+;19;29.17;24;25;23;;
lead;Men;24;Kai;Harada;JPN;1999;31;18;29+;19;19.74;17;24;24;;
lead;Men;25;Marcello;Bombardi;ITA;1993;24+;32;34+;8;19.86;18;21+;25;;
lead;Men;26;Victor;Baudrand;CAN;2003;24+;32;29+;19;29.17;24;5+;26;;
lead;Men;27;Ross;Fulkerson;USA;2001;24;52;30+;17;31.02;27;;;;
lead;Men;28;Mikel Asier;Linacisoro Molina;ESP;2000;24+;32;29;23;31.89;28;;;;
lead;Men;29;Fedir;Samoilov;UKR;1997;26;29;21+;35;32.13;29;;;;
lead;Men;30;Ziga;Zajc;SLO;2001;24+;32;25+;28;34.09;30;;;;
lead;Men;31;Oscar;Baudrand;CAN;2005;25;31;20+;37;34.32;31;;;;
lead;Men;32;Nimrod;Marcus;ISR;1999;30+;21;18+;42;34.94;32;;;;
lead;Men;32;Vladislav;Shevchenko;RUS;1998;30+;21;18+;42;34.94;32;;;;
lead;Men;34;Mathias;Posch;AUT;1999;31+;17;18;70;35.11;34;;;;
lead;Men;35;Michael;Piccolruaz;ITA;1995;24+;32;24+;30;35.87;35;;;;
lead;Men;35;Gergő;Vályi ;HUN;2004;24+;32;24+;30;35.87;35;;;;
lead;Men;35;Adrien;Lemaire;FRA;1999;24+;32;24+;30;35.87;35;;;;
lead;Men;38;Rishat;Khaibullin;KAZ;1995;29+;24;18+;42;36.5;38;;;;
lead;Men;39;Timothy;Kang;USA;1999;24;52;29;23;36.71;39;;;;
lead;Men;40;Ellis;Ernsberger;USA;2003;28+;26;18+;42;37.99;40;;;;
lead;Men;41;Sohta;Amagasa;JPN;2000;24;52;26+;27;38.54;41;;;;
lead;Men;42;Dimitri;Vogt;SUI;1997;28;27;18+;42;38.71;42;;;;
lead;Men;43;Philipp;Martin;GER;1994;27;28;18+;42;39.42;43;;;;
lead;Men;44;Filip;Schenk;ITA;2000;24+;32;20+;37;39.71;44;;;;
lead;Men;45;Nathaniel;Coleman;USA;1997;30+;21;16+;76;41.42;45;;;;
lead;Men;46;Marek;Jeliga;CZE;2003;24;52;23+;33;42.6;46;;;;
lead;Men;47;Mark;Brand;NED;1998;19;67;25;29;44.41;47;;;;
lead;Men;48;Milan;Preskar;SLO;1996;24+;32;18+;42;47.99;48;;;;
lead;Men;48;Stefan;Scherz;AUT;2001;24+;32;18+;42;47.99;48;;;;
lead;Men;48;Dmitrii;Popov;RUS;1997;24+;32;18+;42;47.99;48;;;;
lead;Men;48;Jongwon;CHON;KOR;1996;24+;32;18+;42;47.99;48;;;;
lead;Men;52;Giovanni;Placci;ITA;2001;29;25;10+;92;48.22;52;;;;
lead;Men;53;Vadim;Timonov;RUS;1992;19+;66;21;36;48.74;53;;;;
lead;Men;54;Fredrik;Serlachius;SWE;1998;20+;64;19;41;51.42;54;;;;
lead;Men;55;Nao;Monchois;FRA;1998;26;29;11;89;51.53;55;;;;
lead;Men;56;Leto;Cavé;NED;2002;16+;70;20+;37;54.79;56;;;;
lead;Men;57;Yuval;Shemla;ISR;1998;24+;32;18;70;54.85;57;;;;
lead;Men;57;Sebastian;Halenke;GER;1995;24+;32;18;70;54.85;57;;;;
lead;Men;59;Tomas;Plevko;SVK;1999;24;52;18+;42;55.25;59;;;;
lead;Men;59;Edvards;Gruzitis;LAT;2004;24;52;18+;42;55.25;59;;;;
lead;Men;61;Simon;Potucek;CZE;2001;16+;70;19+;40;56.21;61;;;;
lead;Men;62;Nimród Sebestyén;Tusnády ;HUN;2004;23;60;18+;42;57.71;62;;;;
lead;Men;63;Attila Zsombor;Radics;HUN;2004;22+;61;18+;42;58.19;63;;;;
lead;Men;64;Louis;Gundolf;AUT;2001;22;62;18+;42;58.9;64;;;;
lead;Men;65;Jonas;Brandenburger;GER;2001;20+;64;18+;42;59.83;65;;;;
lead;Men;66;Julian;Wimmer;AUT;2005;19;67;18+;42;61.43;66;;;;
lead;Men;66;Fabian;Förander;SWE;1998;19;67;18+;42;61.43;66;;;;
lead;Men;68;Georg;Parma;AUT;1997;24+;32;0;99;64.1;68;;;;
lead;Men;69;Simon;Lorenzi;BEL;1997;23+;59;18;70;65.4;69;;;;
lead;Men;70;Jakub;Zietek;POL;2002;16+;70;18+;42;66.22;70;;;;
lead;Men;70;Bence;Fuksz;HUN;2004;16+;70;18+;42;66.22;70;;;;
lead;Men;70;Lluc;Macià Llobet;ESP;2004;16+;70;18+;42;66.22;70;;;;
lead;Men;70;Jakub;Fábric;SVK;2003;16+;70;18+;42;66.22;70;;;;
lead;Men;70;Axel;Lindfors;FIN;1991;16+;70;18+;42;66.22;70;;;;
lead;Men;70;Benjamin;Haidacher;AUT;2004;16+;70;18+;42;66.22;70;;;;
lead;Men;70;Julien;Clémence;SUI;2001;16+;70;18+;42;66.22;70;;;;
lead;Men;70;Philipp;Göthert;GER;2001;16+;70;18+;42;66.22;70;;;;
lead;Men;78;Stepan;Potucek;CZE;2001;22;62;16+;76;69.82;78;;;;
lead;Men;79;Johannes;Hofherr;AUT;2002;14;91;18+;42;71.26;79;;;;
lead;Men;80;Shuta;Tanaka;JPN;2000;24;52;10+;92;71.52;80;;;;
lead;Men;81;Christian;Wagner;CHI;2002;16+;70;18;70;75.68;81;;;;
lead;Men;81;Illia;Bakhmet-Smolenskyi;UKR;2005;16+;70;18;70;75.68;81;;;;
lead;Men;83;Matthaios;VALSAMIDIS;GRE;1999;16+;70;16+;76;78.5;83;;;;
lead;Men;83;Roman;Batsenko;UKR;1995;16+;70;16+;76;78.5;83;;;;
lead;Men;83;Geva;Levin;ISR;2003;16+;70;16+;76;78.5;83;;;;
lead;Men;86;Samuel;Stefanik;SVK;2003;16+;70;16;81;80.24;86;;;;
lead;Men;87;Love  Ymer;Alber;SWE;2000;16+;70;15+;83;80.98;87;;;;
lead;Men;88;Filip;Hromada;SVK;2004;16+;70;12;88;83.38;88;;;;
lead;Men;89;Emil;Abrahamsson;SWE;1996;16+;70;11;89;84.32;89;;;;
lead;Men;90;Roman;Sivakov;LTU;2003;15+;89;16;81;85.17;90;;;;
lead;Men;91;Yotam;Ben reuven;ISR;2001;13;93;13+;84;88.91;91;;;;
lead;Men;92;Ludovico;Fossali;ITA;1997;14;91;13;87;89.22;92;;;;
lead;Men;93;Vilks;Kaspars;LAT;1991;11;94;13+;84;89.39;93;;;;
lead;Men;94;Theofanis-Ermis;THEOCHAROPOULOS;GRE;2000;9+;97;13+;84;91.04;94;;;;
lead;Men;95;Victor;SEBROS;GRE;1995;15;90;10;95;92.71;95;;;;
lead;Men;96;Orfeas;TSIAOUSIS;GRE;1999;9+;97;10+;92;95.22;96;;;;
lead;Men;97;Mikael;Suihkonen;FIN;2003;10;96;10;95;95.75;97;;;;
lead;Men;98;Bohdan;Botnar;UKR;2001;10+;95;8;98;96.49;98;;;;
lead;Men;99;Leonid;Osadchyi;UKR;2001;4;99;9;97;97.99;99;;;;
lead;Men;;Ilmari;Piiroinen;FIN;2003;DNS;;DNS;;DNS;;;;;
lead;Men;;Tamás;Farkas;HUN;1994;DNS;;DNS;;DNS;;;;;
lead;Women;1;Janja;Garnbret;SLO;1999;TOP;1;TOP;1;1.41;1;42+;1;TOP;1
lead;Women;2;Brooke;Raboutou;USA;2001;39+;4;TOP;1;2.83;3;36.5+;3;40;2
lead;Women;3;Akiyo;Noguchi;JPN;1989;31;11;35+;4;7.5;6;32+;7;33+;3
lead;Women;4;Viktoriia;Meshkova;RUS;2000;31+;7;33+;10;10.91;10;35;6;22+;4
lead;Women;5;Miho;Nonaka;JPN;1997;31;11;33+;10;13.23;13;32;8;22+;5
lead;Women;6;Vita;Lukan;SLO;2000;41;3;34;7;4.9;4;35+;5;19+;6
lead;Women;7;Laura;Rogora;ITA;2001;46+;2;TOP;1;2.0;2;42;2;13+;7
lead;Women;8;Lucka;Rakovec;SLO;2001;33;5;34;7;6.32;5;36.5+;4;13+;8
lead;Women;9;Futaba;Ito;JPN;2002;25;27;33+;10;19.62;18;31+;9;;
lead;Women;10;Julia;Chanourdie;FRA;1996;28+;23;34+;6;11.75;12;30+;10;;
lead;Women;11;Mia;Krampl;SLO;2000;30+;15;33+;10;14.73;16;30+;11;;
lead;Women;12;Eliska;Adamovska;CZE;2001;31+;7;26+;27;16.36;17;30+;12;;
lead;Women;13;Momoko;ABE;JPN;2003;31;11;33+;10;13.23;13;29+;13;;
lead;Women;14;Heloïse;Doumont;BEL;1998;31+;7;34;7;8.25;7;26+;14;;
lead;Women;15;Anne-Sophie;Koller;SUI;1996;31+;7;33+;10;10.91;10;26+;15;;
lead;Women;16;Lana;Skusek;SLO;2000;31;11;33+;10;13.23;13;26+;16;;
lead;Women;17;Salomé;Romain;FRA;1996;28;24;27+;22;24.0;23;26+;17;;
lead;Women;18;Aleksandra;Totkova;BUL;2005;32+;6;33+;10;9.17;8;24+;18;;
lead;Women;19;Manon;Hily;FRA;1994;29+;18;27+;22;21.63;20;24+;19;;
lead;Women;20;Claudia;Ghisolfi;ITA;1996;26+;25;27+;22;24.74;24;24+;20;;
lead;Women;21;Kyra;Condie;USA;1996;30+;15;26+;27;22.1;21;23+;21;;
lead;Women;22;Eva Maria;Hammelmüller;AUT;2000;30;17;26+;27;23.14;22;23;22;;
lead;Women;23;Giorgia;Tesio;ITA;2000;23+;32;32+;19;25.79;25;23;23;;
lead;Women;24;Julia;Fiser;AUT;1997;29;22;30+;20;21.24;19;20;24;;
lead;Women;25;Natalia;Grossman;USA;2001;29+;18;35+;4;9.37;9;18+;25;;
lead;Women;26;Tjasa;Slemensek;SLO;1999;21;48;33+;10;26.06;26;15+;26;;
lead;Women;27;Maya;Madere;USA;1999;29+;18;26;37;26.86;27;;;;
lead;Women;28;Miu;KAKIZAKI;JPN;2003;23+;32;27+;22;28.98;28;;;;
lead;Women;29;Lynn;van der Meer;NED;1999;22+;39;30+;20;29.52;29;;;;
lead;Women;30;Ekaterina;Kipriianova;RUS;1989;24;30;26+;27;31.0;30;;;;
lead;Women;31;Tina Johnsen;Hafsaas;NOR;1994;22+;39;27+;22;31.94;31;;;;
lead;Women;32;Nina;Arthaud;FRA;2000;29+;18;22;52;32.3;32;;;;
lead;Women;33;Ariane;Franken;AUT;2005;23+;32;26+;27;33.2;33;;;;
