discipline;category;rank;firstname;lastname;country;yob;Qualification score;Qualification rank;Semi-Final score;Semi-Final rank;1/8 score;1/4 score;1/2 score;Small Final score;Final score;Final rank
speed;Men;1;VEDDRIQ;LEONARDO;INA;1997;5.37;2;;;5.55;5.42;5.38;;5.20 (WR);1
speed;Men;2;KIROMAL;KATIBIN;INA;2000;5.25 (WR);1;;;5.49;WILDCARD;5.35;;FALL;2
speed;Men;3;Marcin;Dzienski;POL;1993;5.90;4;;;6.22;5.88;5.77;5.84;;3
speed;Men;4;John;Brosler;USA;1997;5.60 (R);3;;;5.72;5.98;5.76;6.89;;4
speed;Men;5;Merritt;Ernsberger;USA;1999;6.19;11;;;7.82;6.13;;;;5
speed;Men;6;Jun;YASUKAWA;JPN;2003;6.253;12;;;6.18;6.23;;;;6
speed;Men;7;Pierre;Rebreyend;FRA;1997;6.14;9;;;5.94;FALSE START;;;;7
speed;Men;8;Yaroslav;Tkach;UKR;2001;6.17;10;;;6.50;FALL;;;;8
speed;Men;9;Ludovico;Fossali;ITA;1997;6.09;8;;;5.95;;;;;9
speed;Men;10;Guillaume;Moro;FRA;1994;6.36;16;;;6.12;;;;;10
speed;Men;11;Mickael;Mawem;FRA;1990;6.28;14;;;6.79;;;;;11
speed;Men;12;Michael;Finn-Henry;CAN;1999;6.255;13;;;7.79;;;;;12
speed;Men;13;Gian Luca;Zodda;ITA;1999;6.06;7;;;7.88;;;;;13
speed;Men;14;Kostiantyn;Pavlenko;UKR;1998;6.02;5;;;8.28;;;;;14
speed;Men;15;Carlos;Granja;ECU;1999;6.03;6;;;8.73;;;;;15
speed;Men;16;Linus;Bader;GER;2002;6.32;15;;;11.09;;;;;16
speed;Men;17;Jan;Kriz;CZE;1996;6.40;17;;;;;;;;
speed;Men;18;Ethan;Pitcher;CAN;2001;6.54;18;;;;;;;;
speed;Men;19;Amir;Maimuratov;KAZ;1995;6.56;19;;;;;;;;
speed;Men;20;Colin;Duffy;USA;2003;6.75;20;;;;;;;;
speed;Men;21;Stefan;Fellner;USA;2001;6.76;21;;;;;;;;
speed;Men;22;Christopher;Cosser;RSA;2000;6.83;22;;;;;;;;
speed;Men;23;Darren;Skolnik;USA;2002;6.86;23;;;;;;;;
speed;Men;24;Quinn;O'Francia;USA;2004;6.87;24;;;;;;;;
speed;Men;25;Jan;Hojer;GER;1992;6.88;25;;;;;;;;
