discipline;category;rank;firstname;lastname;country;yob;Qualification score;Qualification rank;Semi-final score;Semi-final rank;1/8 score;1/4 score;1/2 score;Small Final score;Final score;Final rank
speed;Men;1;VEDDRIQ;LEONARDO;INA;1997;5.28;2;;;5.51;5.45;5.35;;6.33;1
speed;Men;2;Tobias;Plangger;AUT;2001;5.826;13;;;5.64;5.59;WILDCARD;;FALL;2
speed;Men;3;Ludovico;Fossali;ITA;1997;5.68;6;;;5.53;5.54;7.84;5.49;;3
speed;Men;4;Marcin;Dzienski;POL;1993;5.732;8;;;5.68;5.59;FALSE START;5.56;;4
speed;Men;5;KIROMAL;KATIBIN;INA;2000;5.10 (WR) (AsR);1;;;5.19;FALL;;;;5
speed;Men;6;John;Brosler;USA;1997;5.57;3;;;5.45;6.74;;;;6
speed;Men;7;Erik;Noya Cardona;ESP;1994;5.67;5;;;5.68;5.66;;;;7
speed;Men;8;Samuel;Watson;USA;2006;5.739;10;;;5.51;6.10;;;;8
speed;Men;9;Euncheol;SHIN;KOR;1999;5.58;4;;;5.68;;;;;9
speed;Men;10;Yongjun;JUNG;KOR;2003;5.71;7;;;5.84;;;;;10
speed;Men;11;Seungbeom;LEE;KOR;1999;5.737;9;;;5.70;;;;;11
speed;Men;12;Guillaume;Moro;FRA;1994;5.74;11;;;5.61;;;;;12
speed;Men;13;Amir;Maimuratov;KAZ;1995;5.76;12;;;8.41;;;;;13
speed;Men;14;Pierre;Rebreyend;FRA;1997;5.827;14;;;5.66;;;;;14
speed;Men;15;Ethan;Pitcher;CAN;2001;5.83;15;;;5.90;;;;;15
speed;Men;16;Sebastian;Lucke;GER;2002;5.87;16;;;FALL;;;;;16
speed;Men;17;Carlos;Granja;ECU;1999;5.89;17;;;;;;;;
speed;Men;18;Shuto;FUJINO;JPN;2004;5.90;18;;;;;;;;
speed;Men;19;Gian Luca;Zodda;ITA;1999;5.92;19;;;;;;;;
speed;Men;20;Merritt;Ernsberger;USA;1999;6.00;20;;;;;;;;
speed;Men;21;Yudai;Ikeda;JPN;1998;6.125;21;;;;;;;;
speed;Men;22;Isaac;Estevez ;ECU;1992;6.129;22;;;;;;;;
speed;Men;23;Yann;LE CLERCQ DE LANNOY;FRA;1999;6.13;23;;;;;;;;
speed;Men;24;Nickolaie;RIVADENEIRA ;ECU;2001;6.25;24;;;;;;;;
speed;Men;25;MINSOO;PARK;KOR;1998;6.28;25;;;;;;;;
speed;Men;26;Taeung;MOON;KOR;2001;6.30;26;;;;;;;;
speed;Men;27;Micah;Liss;USA;2003;6.32;27;;;;;;;;
speed;Men;28;Joe;Goodacre;USA;2001;6.33;28;;;;;;;;
speed;Men;29;Linus;Bader;GER;2002;6.36;29;;;;;;;;
speed;Men;30;Dylan;Le;CAN;2005;6.461;30;;;;;;;;
speed;Men;31;Paolo ;Rivadeneira;ECU;2004;6.467;31;;;;;;;;
speed;Men;32;Ayumu;MITA;JPN;2005;6.50;32;;;;;;;;
speed;Men;33;Akihisa;KAJI;JPN;2002;6.54;33;;;;;;;;
speed;Men;34;Quinn;O'Francia;USA;2004;6.72;34;;;;;;;;
speed;Men;35;Darren;Skolnik;USA;2002;7.30;35;;;;;;;;
speed;Men;36;Lukas;Knapp;AUT;1997;7.43;36;;;;;;;;
speed;Men;37;Calrin;Curtis;RSA;1993;7.97;37;;;;;;;;
speed;Men;38;Silas;Chang;USA;2005;8.01;38;;;;;;;;
speed;Men;39;ARDCH;INTRACHUPONGSE;THA;2004;8.07;39;;;;;;;;
speed;Men;40;Hajime;Takeda;JPN;2002;8.78;40;;;;;;;;
speed;Men;41;Oliver;Kuang;USA;2004;9.89;41;;;;;;;;
speed;Men;42;Zach;Hammer;USA;2006;10.11;42;;;;;;;;
speed;Men;43;Richard;Li;USA;2006;15.40;43;;;;;;;;
speed;Men;44;Terence;SARAMANDIF;MRI;2002;34.54;44;;;;;;;;
speed;Men;45;Leander;Carmanns;GER;2004;FALSE START;45;;;;;;;;
speed;Men;45;Noah;Bratschi;USA;2000;FALSE START;45;;;;;;;;
speed;Women;1;Aleksandra;Miroslaw;POL;1994;6.53 (WR) (ER);1;;;6.90;6.69;6.73;;6.54;1
speed;Women;2;Emma;Hunt;USA;2003;7.05 (PAR);3;;;7.54;7.18;7.18;;FALL;2
speed;Women;3;Aleksandra;Kalucka;POL;2001;7.04;2;;;7.09;7.44;8.91;7.96;;3
speed;Women;4;Natalia;Kalucka;POL;2001;7.16;4;;;7.49;7.73;7.51;FALL;;4
speed;Women;5;Giulia;Randi ;ITA;2002;7.58;5;;;7.64;7.77;;;;5
speed;Women;6;Beatrice;Colli;ITA;2004;7.60;6;;;7.54;7.40;;;;6
speed;Women;7;Capucine;Viglione;FRA;2002;7.78;9;;;7.48;8.48;;;;7
speed;Women;8;Franziska;Ritter;GER;2003;7.86;10;;;7.40;7.82;;;;8
speed;Women;9;Patrycja;Chudziak;POL;1997;7.66;7;;;7.65;;;;;9
speed;Women;10;Karin;HAYASHI;JPN;2005;7.70;8;;;8.31;;;;;10
speed;Women;11;Andrea;Rojas;ECU;1995;7.93;11;;;7.77;;;;;11
speed;Women;12;Nuria;Brockfeld;GER;2004;8.10;12;;;7.98;;;;;12
speed;Women;13;Piper;Kelly;USA;1999;8.41;13;;;11.45;;;;;13
speed;Women;14;Callie;Close;USA;2004;8.44;14;;;8.24;;;;;14
speed;Women;15;Anna;Brozek;POL;1995;8.52;15;;;8.01;;;;;15
speed;Women;16;Tetiana;Kolkotina;UKR;1992;8.56;16;;;10.39;;;;;16
speed;Women;17;Fumika;KAWAKAMI;JPN;2006;8.74;17;;;;;;;;
speed;Women;18;Youjin;CHA;KOR;1999;8.75;18;;;;;;;;
speed;Women;19;María;Laborda Sagaste;ESP;2004;9.08;19;;;;;;;;
speed;Women;20;Alejandra;Contreras;CHI;2000;9.21;20;;;;;;;;
speed;Women;21;Sophia;Curcio;USA;2006;9.34;21;;;;;;;;
speed;Women;22;Hanareum;SUNG;KOR;2005;9.38;22;;;;;;;;
speed;Women;23;Valeria;Macias Ferreira;MEX;2001;9.46;23;;;;;;;;
speed;Women;24;Isabel;Gifford;USA;1999;10.04;24;;;;;;;;
