discipline;category;rank;firstname;lastname;country;yob;Qualification score;Qualification rank;Semi-final score;Semi-final rank;1/8 score;1/4 score;1/2 score;Small Final score;Final score;Final rank
speed;Men;1;VEDDRIQ;LEONARDO;INA;1997;5.41;2;;;5.66;5.47;5.38;;6.96;1
speed;Men;2;KIROMAL;KATIBIN;INA;2000;5.17 (WR) (AsR);1;;;5.51;5.26;5.29;;FALSE START;2
speed;Men;3;RAHMAD;ADI MULYONO;INA;2000;5.48;3;;;8.32;5.56;5.54;5.58;;3
speed;Men;4;Ludovico;Fossali;ITA;1997;5.887;12;;;5.61;5.64;FALL;FALL;;4
speed;Men;5;ZAENAL;ARIPIN;INA;1992;5.74;6;;;6.06;FALL;;;;5
speed;Men;6;Seungbeom;LEE;KOR;1999;5.76;7;;;5.76;5.76;;;;6
speed;Men;7;Guillaume;Moro;FRA;1994;5.79;9;;;6.03;6.26;;;;7
speed;Men;8;Tobias;Plangger;AUT;2001;5.889;13;;;6.37;5.69;;;;8
speed;Men;9;Reza;Alipour Shenazandifard;IRI;1994;5.49;4;;;6.40;;;;;9
speed;Men;10;ASPAR;ASPAR;INA;1992;5.70;5;;;5.71;;;;;10
speed;Men;11;Erik;Noya Cardona;ESP;1994;5.78;8;;;FALL;;;;;11
speed;Men;12;ALFIAN;MUHAMMAD FAJRI;INA;1997;5.80;10;;;5.79;;;;;12
speed;Men;13;Yongjun;JUNG;KOR;2003;5.85;11;;;7.70;;;;;13
speed;Men;14;RAHARJATI;NURSAMSA;INA;2001;5.93;14;;;8.39;;;;;14
speed;Men;15;Pierre;Rebreyend;FRA;1997;5.94;15;;;FALL;;;;;15
speed;Men;16;Samuel;Watson;USA;2006;5.97;16;;;6.64;;;;;16
speed;Men;17;Leander;Carmanns;GER;2004;6.01;17;;;;;;;;
speed;Men;18;Joe;Goodacre;USA;2001;6.12;18;;;;;;;;
speed;Men;19;Yudai;Ikeda;JPN;1998;6.15;19;;;;;;;;
speed;Men;20;Ryo;OMASA;JPN;2002;6.17;20;;;;;;;;
speed;Men;21;Dylan;Le;CAN;2005;6.30;21;;;;;;;;
speed;Men;22;Lukas;Knapp;AUT;1997;6.33;22;;;;;;;;
speed;Men;23;Yann;LE CLERCQ DE LANNOY;FRA;1999;6.36;23;;;;;;;;
speed;Men;24;Minsu;KANG;KOR;2001;6.387;24;;;;;;;;
speed;Men;25;Noah;Bratschi;USA;2000;6.388;25;;;;;;;;
speed;Men;26;Quinn;O'Francia;USA;2004;6.45;26;;;;;;;;
speed;Men;27;Taeung;MOON;KOR;2001;6.53;27;;;;;;;;
speed;Men;28;Akihisa;KAJI;JPN;2002;6.72;28;;;;;;;;
speed;Men;29;Gian Luca;Zodda;ITA;1999;6.89;29;;;;;;;;
speed;Men;30;Euncheol;SHIN;KOR;1999;6.90;30;;;;;;;;
speed;Men;31;Hyeonu;SONG;KOR;2006;7.12;31;;;;;;;;
speed;Men;32;MINSOO;PARK;KOR;1998;7.84;32;;;;;;;;
speed;Men;33;Rishat;Khaibullin;KAZ;1995;8.17;33;;;;;;;;
speed;Men;34;Shuto;FUJINO;JPN;2004;8.55;34;;;;;;;;
speed;Men;35;SANGHYUN;CHO;KOR;2003;8.78;35;;;;;;;;
speed;Men;36;Linus;Bader;GER;2002;9.22;36;;;;;;;;
speed;Men;37;HARAM;JEON;KOR;2003;9.34;37;;;;;;;;
speed;Men;38;John;Brosler;USA;1997;FALL;38;;;;;;;;
speed;Men;38;JIHWAN;JU;KOR;2001;FALL;38;;;;;;;;
speed;Women;1;Aleksandra;Miroslaw;POL;1994;6.64 (WR) (ER);1;;;7.33;8.44;6.83;;6.72;1
speed;Women;2;Emma;Hunt;USA;2003;7.99;11;;;7.22;7.99;7.44;;7.23;2
speed;Women;3;Aleksandra;Kalucka;POL;2001;7.40;5;;;7.17;8.15;9.54;7.24;;3
speed;Women;4;Franziska;Ritter;GER;2003;7.55;7;;;7.50;8.45;10.17;7.58;;4
speed;Women;5;RAJIAH;SALLSABILLAH;INA;1999;7.26;3;;;7.47;FALL;;;;5
speed;Women;6;Capucine;Viglione;FRA;2002;7.67;8;;;7.65;11.87;;;;6
speed;Women;7;Jimin;JEONG;KOR;2004;8.12;13;;;8.15;8.17;;;;7
speed;Women;8;Nuria;Brockfeld;GER;2004;8.20;15;;;8.06;10.86;;;;8
speed;Women;9;DESAK;MADE RITA KUSUMA DEWI;INA;2001;7.15;2;;;9.91;;;;;9
speed;Women;10;NURUL;IQAMAH;INA;1995;7.31;4;;;8.38;;;;;10
speed;Women;11;Patrycja;Chudziak;POL;1997;7.51;6;;;7.47;;;;;11
speed;Women;12;Beatrice;Colli;ITA;2004;7.80;9;;;7.79;;;;;12
speed;Women;13;Natalia;Kalucka;POL;2001;7.83;10;;;9.02;;;;;13
speed;Women;14;Aurelia;Sarisson;FRA;1997;8.05;12;;;7.23;;;;;14
speed;Women;15;Alivany;Ver Khadijah;INA;2002;8.18;14;;;7.96;;;;;15
speed;Women;16;Lison;Gautron;FRA;2002;8.23;16;;;8.40;;;;;16
speed;Women;17;María;Laborda Sagaste;ESP;2004;8.47;17;;;;;;;;
speed;Women;18;Fumika;KAWAKAMI;JPN;2006;8.48;18;;;;;;;;
speed;Women;19;Ai;TAKEUCHI;JPN;2005;8.62;19;;;;;;;;
speed;Women;20;Karin;HAYASHI;JPN;2005;8.67;20;;;;;;;;
speed;Women;21;Andrea;Rojas;ECU;1995;8.78;21;;;;;;;;
speed;Women;22;Giulia;Randi ;ITA;2002;9.14;22;;;;;;;;
speed;Women;23;Heeju;NOH;KOR;2004;9.22;23;;;;;;;;
speed;Women;24;Callie;Close;USA;2004;9.24;24;;;;;;;;
speed;Women;25;SEOYEON;PARK;KOR;2002;9.30;25;;;;;;;;
speed;Women;26;Youjin;CHA;KOR;1999;9.39;26;;;;;;;;
speed;Women;27;Hanareum;SUNG;KOR;2005;9.44;27;;;;;;;;
