discipline;category;rank;firstname;lastname;country;yob;Qualification 1 score;Qualification 1 rank;Qualification 2 score;Qualification 2 rank;Qualification score;Qualification rank;Semi-Final score;Semi-Final rank;Final score;Final rank
lead;Men;1;Stefano;Ghisolfi;ITA;1993;32+;2;32+;4;3.0;2;42+;1;42+;1
lead;Men;2;Dmitrii;Fakirianov;RUS;1994;15;52;33+;2;11.51;11;40+;3;39+;2
lead;Men;3;Martin;Stranik;CZE;1990;29+;3;29;8;5.66;4;39+;4;37+;3
lead;Men;4;Sean;Bailey;USA;1996;29+;3;27;16;8.0;7;42+;2;36;4
lead;Men;5;Sascha;Lehmann;SUI;1998;22+;16;32+;4;9.25;8;37+;5;35;5
lead;Men;6;Fedir;Samoilov;UKR;1997;29;6;27+;13;9.54;9;37;8;35;6
lead;Men;7;Alberto;Ginés López;ESP;2002;22+;16;33+;2;6.89;6;37;7;27+;7
lead;Men;8;Luka;Potocar;SLO;2001;33;1;30+;7;2.65;1;37;6;22;8
lead;Men;9;Victor;Baudrand;CAN;2003;22+;16;25+;19;19.49;18;37;9;;
lead;Men;10;Domen;Skofic;SLO;1994;22+;16;34+;1;4.36;3;36+;10;;
lead;Men;11;Yannick;Flohé;GER;1999;29+;3;28+;9;6.48;5;36+;11;;
lead;Men;12;Masahiro;Higuchi;JPN;1992;28;9;25+;19;13.78;12;36+;12;;
lead;Men;13;Mathias;Posch;AUT;1999;23+;11;26+;17;14.79;15;36+;13;;
lead;Men;14;Nicolas;Collin;BEL;1998;23;15;21+;27;21.04;21;33+;14;;
lead;Men;15;Marcello;Bombardi;ITA;1993;22;23;28+;9;16.2;16;31.5+;15;;
lead;Men;16;Sam;Avezou;FRA;2001;21+;28;27+;13;21.0;20;31.5+;16;;
lead;Men;17;Sebastian;Halenke;GER;1995;22+;16;28+;9;14.12;14;31.5;17;;
lead;Men;18;Nino;Grünenfelder;SUI;2001;21+;28;24+;23;27.21;26;31.5;18;;
lead;Men;19;Hamish;McArthur;GBR;2002;29;6;27+;13;9.54;9;31+;19;;
lead;Men;20;Sohta;Amagasa;JPN;2000;8;63;31+;6;19.67;19;31+;20;;
lead;Men;21;Peter;Kuric;SVK;2001;23+;11;19+;36;21.79;23;31;21;;
lead;Men;22;Ross;Fulkerson;USA;2001;28;9;25+;19;13.78;12;28+;22;;
lead;Men;23;Joshua;FOURTEAU;FRA;2002;23+;11;19+;36;21.79;23;28+;23;;
lead;Men;24;Ties;Vancraeynest;BEL;2003;28+;8;10;56;21.73;22;24;24;;
lead;Men;25;Campbell;Harrison;AUS;1997;22;23;21+;27;27.16;25;21;25;;
lead;Men;26;Hannes;Puman;SWE;1997;21+;28;28+;9;18.19;17;5;26;;
lead;Men;27;Mikel Asier;Linacisoro Molina;ESP;2000;21+;28;24;25;28.34;27;;;;
