discipline;category;rank;firstname;lastname;country;yob;Qualification 1 score;Qualification 1 rank;Qualification 2 score;Qualification 2 rank;Qualification score;Qualification rank;Semi-final score;Semi-final rank;Final score;Final rank
lead;Men;1;Jesse;Grupper;USA;1997;34+;1;37;7;2.74;1;TOP;1;37;1
lead;Men;2;Taisei;Homma;JPN;1999;23;40;35;15;25.25;23;44;3;35+;2
lead;Men;3;Alexander;Megos;GER;1993;31;8;39+;1;4.0;3;41+;4;35+;3
lead;Men;4;Yannick;Flohé;GER;1999;33+;2;35+;12;5.7;5;41+;5;35+;4
lead;Men;5;Colin;Duffy;USA;2003;32;7;36+;9;8.37;9;41+;6;34+;5
lead;Men;6;Yoshiyuki;Ogata;JPN;1998;30+;9;34;17;17.49;15;41+;8;34+;6
lead;Men;7;Filip;Schenk;ITA;2000;33+;2;24;69;13.13;13;41+;7;27;7
lead;Men;8;Hamish;McArthur;GBR;2002;30+;9;34;17;17.49;15;41+;8;25;8
lead;Men;9;Luka;Potocar;SLO;2001;30+;9;36+;9;13.04;11;TOP;2;18+;9
lead;Men;10;Sascha;Lehmann;SUI;1998;30+;9;39+;1;5.83;6;41;10;;
lead;Men;11;Sean;Bailey;USA;1996;30+;9;38+;4;8.25;8;41;11;;
lead;Men;12;Sebastian;Halenke;GER;1995;30+;9;34;17;17.49;15;41;12;;
lead;Men;13;Stefano;Ghisolfi;ITA;1993;30+;9;37;7;11.29;10;39+;13;;
lead;Men;14;Masahiro;Higuchi;JPN;1992;30+;9;35+;12;14.87;14;39;14;;
lead;Men;15;Jules;Marchaland;FRA;2001;30+;9;32+;23;21.22;19;38+;15;;
lead;Men;16;Sam;Avezou;FRA;2001;28+;29;37+;5;13.06;12;38;16;;
lead;Men;17;Domen;Skofic;SLO;1994;30+;9;33+;20;18.89;18;35+;17;;
lead;Men;18;Toby;Roberts;GBR;2005;30+;9;32;31;23.69;21;28+;18;;
lead;Men;19;Yuval;Shemla;ISR;1998;30+;9;32+;23;21.22;19;28;19;;
lead;Men;20;Jonas;Utelli;SUI;2003;30+;9;32;31;23.69;21;28;20;;
lead;Men;21;Martin;Stranik;CZE;1990;30+;9;30;38;25.42;24;27+;21;;
lead;Men;22;Oscar;Baudrand;CAN;2005;30+;9;29+;39;26.56;26;27;22;;
lead;Men;23;Satone;YOSHIDA;JPN;2004;32+;4;39+;1;3.16;2;26+;23;;
lead;Men;24;Kokoro;Fujii;JPN;1992;32+;4;36+;9;7.07;7;25+;24;;
lead;Men;25;Marcello;Bombardi;ITA;1993;28+;29;33+;20;25.51;25;25+;25;;
lead;Men;26;Ao;YURIKUSA;JPN;2002;32+;4;37+;5;5.24;4;2+;26;;
