discipline;category;rank;firstname;lastname;country;yob;Qualification 1 score;Qualification 1 rank;Qualification 2 score;Qualification 2 rank;Qualification score;Qualification rank;Semi-Final score;Semi-Final rank;Final score;Final rank
lead;Men;1;Sean;Bailey;USA;1996;37+;5;40;10;8.31;6;43;5;34+;1
lead;Men;2;Stefano;Ghisolfi;ITA;1993;32+;26;TOP;1;11.62;11;46;2;32;2
lead;Men;3;Martin;Stranik;CZE;1990;35+;10;39;17;14.9;14;43;6;32;3
lead;Men;4;Sascha;Lehmann;SUI;1998;37;8;TOP;1;6.0;5;47+;1;29;4
lead;Men;5;Victor;Baudrand;CAN;2003;TOP;1;38;21;5.61;4;41+;7;28+;5
lead;Men;6;Marcello;Bombardi;ITA;1993;35+;10;40+;9;10.39;9;41+;8;26+;6
lead;Men;7;Luka;Potocar;SLO;2001;33+;19;40;10;15.91;16;45;4;25+;7
lead;Men;8;Paul;Jenft;FRA;2003;32+;26;TOP;1;11.62;11;45+;3;25;8
lead;Men;9;Masahiro;Higuchi;JPN;1992;35;15;40;10;13.13;13;41+;9;;
lead;Men;10;Hannes;Puman;SWE;1997;33+;19;36+;22;26.94;25;41+;10;;
lead;Men;11;Yannick;Flohé;GER;1999;33+;19;TOP;1;9.95;8;41;11;;
lead;Men;12;Christoph;Hanke;GER;1994;33+;19;36+;22;26.94;25;41;12;;
lead;Men;13;Mejdi;Schalck;FRA;2004;35+;10;36+;22;19.9;19;40+;13;;
lead;Men;14;Alberto;Ginés López;ESP;2002;38+;3;TOP;1;3.67;2;39+;14;;
lead;Men;15;Sebastian;Halenke;GER;1995;33+;19;39;17;20.17;21;39+;15;;
lead;Men;16;Sohta;Amagasa;JPN;2000;37+;5;40;10;8.31;6;38+;16;;
lead;Men;17;Mikel Asier;Linacisoro Molina;ESP;2000;22+;59;TOP;1;16.57;17;38+;17;;
lead;Men;18;Milan;Preskar;SLO;1996;30;41;39+;14;25.1;24;38+;18;;
lead;Men;19;Nao;Monchois;FRA;1998;33+;19;36+;22;26.94;25;38+;19;;
lead;Men;20;Stefan;Scherz;AUT;2001;35+;10;39;17;14.9;14;37+;20;;
lead;Men;21;Ellis;Ernsberger;USA;2003;33+;19;36+;22;26.94;25;34;21;;
lead;Men;22;Martin;Bergant;SLO;1996;38;4;36+;22;11.49;10;33;22;;
lead;Men;23;Oscar;Baudrand;CAN;2005;36+;9;36+;22;17.23;18;33;23;;
