discipline;category;rank;firstname;lastname;country;yob;Qualification 1 score;Qualification 1 rank;Qualification 2 score;Qualification 2 rank;Qualification score;Qualification rank;Semi-final score;Semi-final rank;Final score;Final rank
lead;Men;1;Luka;Potocar;SLO;2001;41+;2;27+;12;6.12;6;39+;3;30+;1
lead;Men;2;Sascha;Lehmann;SUI;1998;40+;4;TOP;1;2.24;2;37;4;30+;2
lead;Men;3;Yannick;Flohé;GER;1999;39+;7;28+;8;8.5;9;42+;2;29+;3
lead;Men;4;Ao;YURIKUSA;JPN;2002;TOP;1;33+;2;1.41;1;42+;1;25+;4
lead;Men;5;Alberto;Ginés López;ESP;2002;40+;4;32+;4;4.47;3;34+;6;25+;5
lead;Men;6;Taisei;Homma;JPN;1999;40+;4;29+;5;5.48;5;34;7;25+;6
lead;Men;7;Yoshiyuki;Ogata;JPN;1998;41+;2;27+;12;6.12;6;37;5;22+;7
lead;Men;8;Satone;YOSHIDA;JPN;2004;39+;7;29+;5;7.14;8;34;8;17+;8
lead;Men;9;Alexander;Megos;GER;1993;39+;7;33;3;5.05;4;33+;9;;
lead;Men;10;Hamish;McArthur;GBR;2002;39+;7;28;10;9.45;10;33+;10;;
lead;Men;11;Masahiro;Higuchi;JPN;1992;32+;15;29+;5;10.25;11;33+;11;;
lead;Men;12;Sebastian;Halenke;GER;1995;38+;11;26+;19;15.38;14;33+;12;;
lead;Men;13;Jules;Marchaland;FRA;2001;37+;12;28;10;11.46;12;32+;13;;
lead;Men;14;Marcello;Bombardi;ITA;1993;30+;23;26+;19;22.72;20;32+;14;;
lead;Men;15;Dohyun;LEE;KOR;2002;32+;15;28+;8;12.2;13;31+;15;;
lead;Men;16;James;Pope;GBR;1998;31+;21;24;27;25.18;25;30+;16;;
lead;Men;17;Nicolas;Collin;BEL;1998;36+;14;24;27;20.32;19;30;17;;
lead;Men;18;Martin;Bergant;SLO;1996;30+;23;26+;19;22.72;20;27+;18;;
lead;Men;19;Stefan;Scherz;AUT;2001;32+;15;22+;33;25.96;26;27+;19;;
lead;Men;20;Domen;Skofic;SLO;1994;32+;15;27+;12;16.2;15;26+;20;;
lead;Men;21;Martin;Stranik;CZE;1990;37+;12;24;27;19.2;17;24+;21;;
lead;Men;22;Louis;Gundolf;AUT;2001;31+;21;24+;26;23.64;23;23+;22;;
lead;Men;23;Filip;Schenk;ITA;2000;32+;15;26+;19;19.4;18;23;23;;
lead;Men;24;Oscar;Baudrand;CAN;2005;32+;15;24;27;22.72;20;22+;24;;
lead;Men;25;Zan;Lovenjak Sudar;SLO;1998;29+;28;26+;19;24.97;24;22+;25;;
lead;Men;26;Giovanni;Placci;ITA;2001;30+;23;27+;12;18.97;16;16;26;;
lead;Men;27;Milan;Preskar;SLO;1996;10+;48;27+;12;27.93;27;;;;
lead;Men;27;Hidemasa;Nishida;JPN;2002;10+;48;27+;12;27.93;27;;;;
lead;Men;27;Nathaniel;Coleman;USA;1997;10+;48;27+;12;27.93;27;;;;
lead;Men;30;Michael;Piccolruaz;ITA;1995;30;26;24;27;27.96;30;;;;
lead;Men;31;Gregor;Vezonik;SLO;1995;22+;35;26;25;30.41;31;;;;
