discipline;category;rank;firstname;lastname;country;yob;Qualification 1 score;Qualification 1 rank;Qualification 2 score;Qualification 2 rank;Qualification score;Qualification rank;Semi-Final score;Semi-Final rank;Final score;Final rank
lead;Men;1;Masahiro;Higuchi;JPN;1992;29+;14;37+;8;12.96;16;41+;1;37;1
lead;Men;2;Luka;Potocar;SLO;2001;18+;46;TOP;1;10.95;12;41;2;31+;2
lead;Men;3;Sebastian;Halenke;GER;1995;29+;14;38;5;9.8;9;40+;3;31+;3
lead;Men;4;Domen;Skofic;SLO;1994;TOP;1;TOP;1;3.71;1;29+;8;31+;4
lead;Men;5;Fedir;Samoilov;UKR;1997;25+;25;37+;8;16.84;19;37+;5;30+;5
lead;Men;6;Satone;YOSHIDA;JPN;2004;29+;14;37+;8;12.96;16;40+;4;16+;6
lead;Men;7;Milan;Preskar;SLO;1996;TOP;1;35;19;10.49;10;34+;6;15+;7
lead;Men;8;Ao;YURIKUSA;JPN;2002;TOP;1;38;5;5.74;3;33+;7;15+;8
lead;Men;9;Martin;Bergant;SLO;1996;TOP;1;35;19;10.49;10;29+;9;;
lead;Men;10;Martin;Stranik;CZE;1990;31+;11;37;14;12.41;15;29+;10;;
lead;Men;11;Sam;Avezou;FRA;2001;28;20;36;16;18.17;22;29+;11;;
lead;Men;12;Stefano;Ghisolfi;ITA;1993;TOP;1;38;5;5.74;3;29;12;;
lead;Men;13;Mathias;Posch;AUT;1999;25+;25;TOP;1;8.22;6;28+;13;;
lead;Men;14;Yannick;Flohé;GER;1999;30;12;37+;8;11.46;13;27+;14;;
lead;Men;15;Sean;Bailey;USA;1996;TOP;1;36;16;9.53;8;26+;15;;
lead;Men;16;Nao;Monchois;FRA;1998;25+;25;33+;24;25.72;24;26;16;;
lead;Men;17;Jorg;Verhoeven;NED;1985;TOP;1;37+;8;7.6;5;25+;17;;
lead;Men;18;Christoph;Hanke;GER;1994;29+;14;34+;22;18.76;23;25+;18;;
lead;Men;19;William;Ridal;GBR;1997;TOP;1;32+;26;12.07;14;25;19;;
lead;Men;20;Marcello;Bombardi;ITA;1993;29+;14;35+;18;16.97;21;25;20;;
lead;Men;21;Giovanni;Placci;ITA;2001;23;34;35;19;26.65;26;25;21;;
lead;Men;22;James;Pope;GBR;1998;30;12;34;23;16.96;20;24;22;;
lead;Men;23;Zento;MURASHITA;JPN;2004;TOP;1;36+;15;9.08;7;23+;23;;
lead;Men;24;Taito;Nakagami;JPN;1999;29;19;37+;8;14.12;18;23+;24;;
lead;Men;25;Alberto;Gotta;ITA;1992;25+;25;33+;24;25.72;24;21+;25;;
lead;Men;26;Sascha;Lehmann;SUI;1998;TOP;1;TOP;1;3.71;1;11+;26;;
lead;Men;27;Georg;Parma;AUT;1997;26;23;31;31;26.99;27;;;;
lead;Men;28;Anze;Peharc;SLO;1997;26+;22;28+;35;27.95;28;;;;
lead;Men;29;Paul;Jenft;FRA;2003;26;23;30;33;28.06;29;;;;
lead;Men;30;Leo;Avezou;FRA;1999;25;30;32+;26;28.2;30;;;;
lead;Men;31;Andrej;Polak;SLO;2002;27;21;25+;41;29.7;31;;;;
lead;Men;32;MINYOUNG;LEE;KOR;1999;24+;31;32;28;29.96;32;;;;
lead;Men;33;Filip;Schenk;ITA;2000;23;34;30+;32;33.7;33;;;;
lead;Men;34;William;Bosi;GBR;1998;22+;38;31+;30;33.99;34;;;;
lead;Men;35;Mikel Asier;Linacisoro Molina;ESP;2000;24+;31;27+;37;34.6;35;;;;
lead;Men;36;Dylan;Chuat;SUI;2000;25+;25;24+;45;35.05;36;;;;
lead;Men;37;Campbell;Harrison;AUS;1997;20+;44;32;28;35.41;37;;;;
lead;Men;38;Max;Kleesattel;GER;1998;21+;40;27+;37;39.23;38;;;;
lead;Men;39;Mark;Brand;NED;1998;18+;46;30;33;40.1;39;;;;
lead;Men;40;Isaac;Leff;USA;2004;23;34;24+;45;40.19;40;;;;
lead;Men;41;Stefan;Scherz;AUT;2001;23+;33;21;50;40.62;41;;;;
lead;Men;42;Leto;Cavé;NED;2002;18+;46;28+;35;41.28;42;;;;
lead;Men;43;David;Barrans;GBR;1981;23;34;21+;49;41.71;43;;;;
lead;Men;44;Kim;Marschner;GER;1998;21;42;25;44;43.24;44;;;;
lead;Men;45;Gergő;Vályi ;HUN;2004;18+;46;27;40;43.82;45;;;;
lead;Men;46;Timotej;Romšak;SLO;2004;21+;40;22;48;44.09;46;;;;
lead;Men;47;Yuval;Shemla;ISR;1998;16+;52;27+;37;44.67;47;;;;
lead;Men;48;Ziga;Zajc;SLO;2001;22+;38;20;55;46.02;48;;;;
lead;Men;49;Charlie;Osborne;USA;2002;16+;52;25+;41;46.96;49;;;;
lead;Men;50;Fabian;Förander;SWE;1998;21;42;20+;51;47.24;50;;;;
lead;Men;51;Louis;Gundolf;AUT;2001;18+;46;23;47;47.5;51;;;;
lead;Men;52;Cody;Stevenson;USA;2003;15+;54;25+;41;47.84;52;;;;
lead;Men;53;Filip;Kurtović;CRO;2003;17;51;20+;51;51.74;53;;;;
lead;Men;54;Giorgio;Tomatis;ITA;2003;19;45;0;61;52.39;54;;;;
lead;Men;55;Nimród Sebestyén;Tusnády ;HUN;2004;15;56;20+;51;54.46;55;;;;
lead;Men;56;Filippos;LAVRENTAKIS-RIGAKIS;GRE;2005;15+;54;17+;56;55.24;56;;;;
lead;Men;57;Igor;Veselic;SRB;2003;13+;58;20+;51;55.42;57;;;;
lead;Men;58;Ben;Abel;AUS;1998;15;56;15+;57;56.75;58;;;;
lead;Men;59;Vaidotas;Monstavicius;LTU;1990;7;60;15;58;59.24;59;;;;
lead;Men;60;Theofanis-Ermis;THEOCHAROPOULOS;GRE;2000;13+;58;7+;60;59.25;60;;;;
lead;Men;61;Joshua;Bruyns;RSA;2003;7;60;14;59;59.75;61;;;;
lead;Men;;Hritik;Marne;IND;2000;DNS;;DNS;;DNS;;;;;
lead;Women;1;Janja;Garnbret;SLO;1999;TOP;1;43+;8;5.34;5;47+;1;49+;1
lead;Women;2;Chaehyun;SEO;KOR;2003;TOP;1;TOP;1;3.0;1;36;6;46;2
lead;Women;3;Natalia;Grossman;USA;2001;29+;10;TOP;1;6.0;7;37+;4;41+;3
lead;Women;4;Laura;Rogora;ITA;2001;TOP;1;TOP;1;3.0;1;44+;2;39;4
lead;Women;5;Vita;Lukan;SLO;2000;34+;6;43+;8;8.15;8;38+;3;39;5
lead;Women;6;Lucka;Rakovec;SLO;2001;29;15;44;7;10.42;10;36+;5;34+;6
lead;Women;7;Dinara;Fakhritdinova;RUS;1992;34+;6;TOP;1;4.58;4;35+;7;31+;7
lead;Women;8;Natsuki;Tanii;JPN;2003;25+;18;36;28;24.17;25;34+;8;26;8
lead;Women;9;Mia;Krampl;SLO;2000;TOP;1;43+;8;5.34;5;33+;9;;
lead;Women;10;Lana;Skusek;SLO;2000;25+;18;42+;12;16.01;16;33+;10;;
lead;Women;11;Molly;Thompson-Smith;GBR;1997;29+;10;43+;8;10.68;11;32;11;;
lead;Women;12;Momoko;ABE;JPN;2003;34+;6;41+;15;10.25;9;31+;12;;
lead;Women;13;Hannah;Meul;GER;2001;29+;10;42+;12;12.25;12;31+;13;;
lead;Women;14;Jessica;Pilz;AUT;1996;33+;9;41;16;12.37;13;31+;14;;
lead;Women;15;Ryu;NAKAGAWA;JPN;2004;29+;10;42;14;12.96;15;31+;15;;
lead;Women;16;Nolwenn;Arc;FRA;2000;25+;18;41;16;18.67;18;31+;16;;
lead;Women;17;Tomona;TAKAO;JPN;2004;25+;18;41;16;18.67;18;30;17;;
lead;Women;18;Anne-Sophie;Koller;SUI;1996;23+;28;38+;23;26.15;26;29+;18;;
lead;Women;19;Michelle;Hulliger;SUI;1999;29+;10;30+;39;21.77;23;27;19;;
lead;Women;20;Roxana;Wienand;GER;2000;24;25;39+;20;23.09;24;27;20;;
lead;Women;21;Mei;Kotake;JPN;1997;TOP;1;TOP;1;3.0;1;20+;21;;
lead;Women;22;Salomé;Romain;FRA;1996;24;25;44+;6;12.49;14;20+;22;;
lead;Women;23;Sara;Copar;SLO;2005;29;15;39;22;18.47;17;20+;23;;
lead;Women;24;Julia;Fiser;AUT;1997;25+;18;40+;19;19.74;20;20+;24;;
lead;Women;25;Lucija;Tarkus;SLO;2003;27+;17;38+;23;20.2;21;20+;25;;
lead;Women;26;Camille;Pouget;FRA;2002;25+;18;39+;20;20.5;22;20+;26;;
lead;Women;27;Tjasa;Slemensek;SLO;1999;24;25;37+;26;26.25;27;;;;
lead;Women;28;Manon;Hily;FRA;1994;22+;31;38+;23;27.71;28;;;;
lead;Women;29;Valeri;Kremer;ISR;1991;22+;31;37+;26;29.12;29;;;;
lead;Women;30;Liza;Novak;SLO;2004;23;30;34+;31;31.22;30;;;;
lead;Women;31;Katja;Debevec;SLO;1995;22+;31;34+;31;32.25;31;;;;
lead;Women;32;Julia;Duffy;USA;2004;23+;28;33+;36;32.47;32;;;;
lead;Women;33;Valentina;Aguado;ARG;2001;24+;24;28;44;32.5;33;;;;
lead;Women;34;Martina;Demmel;GER;2001;20+;38;36;28;33.12;34;;;;
lead;Women;35;Celine;Cuypers;BEL;1998;20+;38;35+;30;33.99;35;;;;
lead;Women;36;Giorgia;Tesio;ITA;2000;21;35;34+;31;34.21;36;;;;
lead;Women;37;Käthe;Atkins;GER;2001;21;35;34;35;35.5;37;;;;
lead;Women;38;Eva Maria;Hammelmüller;AUT;2000;20;40;34+;31;36.28;38;;;;
lead;Women;39;Chloe;Caulier;BEL;1996;21+;34;30;41;37.56;39;;;;
lead;Women;40;Kylie;Cullen;USA;2004;21;35;30;41;38.65;40;;;;
lead;Women;41;Quinn;Mason;USA;2003;20;40;33+;36;38.71;41;;;;
lead;Women;42;Luisa;Flohé;GER;2001;19+;42;33+;36;39.42;42;;;;
lead;Women;43;Noa;Shiran;ISR;2001;14+;45;30+;39;42.16;43;;;;
lead;Women;44;Ashley;Fisher;USA;2002;16+;43;29;43;43.0;44;;;;
lead;Women;45;Athanasia;LIOUNI;GRE;2002;15;44;23+;45;44.5;45;;;;
