discipline;category;rank;firstname;lastname;country;yob;Qualification 1 score;Qualification 1 rank;Qualification 2 score;Qualification 2 rank;Qualification score;Qualification rank;Semi-final score;Semi-final rank;1/8 score;1/4 score;1/2 score;Small Final score;Final score;Final rank
lead;Men;1;Adam;Ondra;CZE;1993;TOP;1;TOP;1;8.83;1;TOP;1;;;;;39+;1
lead;Men;2;Taisei;Homma;JPN;1999;TOP;1;TOP;1;8.83;1;36+;6;;;;;39+;2
lead;Men;3;Sean;Bailey;USA;1996;TOP;1;TOP;1;8.83;1;TOP;1;;;;;29+;3
lead;Men;4;Luka;Potocar;SLO;2001;TOP;1;41+;12;13.0;12;TOP;3;;;;;29+;4
lead;Men;5;Yannick;Flohé;GER;1999;TOP;1;TOP;1;8.83;1;36+;6;;;;;29+;5
lead;Men;6;Sam;Avezou;FRA;2001;TOP;1;39+;20;16.12;16;40+;5;;;;;25+;6
lead;Men;7;Hamish;McArthur;GBR;2002;TOP;1;TOP;1;8.83;1;36+;6;;;;;25+;7
lead;Men;8;Sascha;Lehmann;SUI;1998;TOP;1;TOP;1;8.83;1;36+;6;;;;;20+;8
lead;Men;9;Satone;YOSHIDA;JPN;2004;TOP;1;40+;17;15.08;15;TOP;4;;;;;12;9
lead;Men;10;Hannes;Puman;SWE;1997;TOP;1;34;44;24.45;24;36+;10;;;;;;
lead;Men;11;Stefan;Scherz;AUT;2001;TOP;1;TOP;1;8.83;1;35+;11;;;;;;
lead;Men;12;Dohyun;LEE;KOR;2002;TOP;1;TOP;1;8.83;1;34+;12;;;;;;
lead;Men;12;Domen;Skofic;SLO;1994;TOP;1;TOP;1;8.83;1;34+;12;;;;;;
lead;Men;14;Paul;Jenft;FRA;2003;TOP;1;41+;12;13.0;12;34+;14;;;;;;
lead;Men;15;Arsène;Duval;FRA;1999;TOP;1;39;21;16.72;17;34+;15;;;;;;
lead;Men;16;Filip;Schenk;ITA;2000;TOP;1;37+;23;17.29;18;34+;16;;;;;;
