discipline;category;rank;firstname;lastname;country;yob;Qualification 1 score;Qualification 1 rank;Qualification 2 score;Qualification 2 rank;Qualification score;Qualification rank;Semi-final score;Semi-final rank;1/8 score;1/4 score;1/2 score;Small Final score;Final score;Final rank
lead;Men;1;Jesse;Grupper;USA;1997;40+;7;TOP;1;4.61;3;35+;2;;;;;TOP;1
lead;Men;2;Luka;Potocar;SLO;2001;30;21;45+;10;15.91;17;38+;1;;;;;31+;2
lead;Men;3;Toby;Roberts;GBR;2005;36+;18;41;22;20.68;23;34+;6;;;;;30+;3
lead;Men;4;Stefan;Scherz;AUT;2001;39+;11;41;22;17.1;19;33;7;;;;;30+;4
lead;Men;5;Masahiro;Higuchi;JPN;1992;40+;7;45+;10;9.89;11;35+;4;;;;;25+;5
lead;Men;6;Sascha;Lehmann;SUI;1998;40+;7;46+;5;7.71;7;34+;5;;;;;25+;6
lead;Men;7;Colin;Duffy;USA;2003;39+;11;TOP;1;5.7;5;35+;3;;;;;22;7
lead;Men;8;Yoshiyuki;Ogata;JPN;1998;40+;7;41+;20;13.2;14;30+;8;;;;;22;8
lead;Men;9;Jonas;Utelli;SUI;2003;24+;34;43+;15;24.91;26;30+;9;;;;;;
lead;Men;10;Taisei;Homma;JPN;1999;44+;1;TOP;1;2.24;1;25+;10;;;;;;
lead;Men;11;Ao;YURIKUSA;JPN;2002;44+;1;46+;5;3.74;2;25+;11;;;;;;
lead;Men;12;Alberto;Ginés López;ESP;2002;44+;1;45+;10;4.8;4;25+;12;;;;;;
lead;Men;13;Satone;YOSHIDA;JPN;2004;36+;18;TOP;1;6.89;6;25+;13;;;;;;
lead;Men;14;Filip;Schenk;ITA;2000;43+;4;43+;15;8.25;8;25+;14;;;;;;
lead;Men;15;Nathaniel;Coleman;USA;1997;39+;11;46+;5;9.54;9;25+;15;;;;;;
lead;Men;16;Domen;Skofic;SLO;1994;41+;5;43+;15;9.67;10;25+;16;;;;;;
lead;Men;17;Dohyun;LEE;KOR;2002;39+;11;45+;10;12.23;13;25+;17;;;;;;
lead;Men;18;Jules;Marchaland;FRA;2001;25;30;46+;5;14.85;15;25+;18;;;;;;
lead;Men;19;Sebastian;Halenke;GER;1995;24+;34;46+;5;15.98;18;25+;19;;;;;;
lead;Men;20;Hidemasa;Nishida;JPN;2002;39;16;37+;24;20.59;22;25+;20;;;;;;
lead;Men;21;Giovanni;Placci;ITA;2001;30;21;37+;24;24.15;25;25;21;;;;;;
lead;Men;22;Mathias;Posch;AUT;1999;25+;27;43+;15;21.82;24;23;22;;;;;;
lead;Men;23;Nicolas;Collin;BEL;1998;41+;5;37+;24;12.07;12;22+;23;;;;;;
lead;Men;24;Victor;Baudrand;CAN;2003;37+;17;45;14;15.43;16;22+;24;;;;;;
lead;Men;25;James;Pope;GBR;1998;39+;11;37+;24;18.56;21;22+;25;;;;;;
lead;Men;26;Arsène;Duval;FRA;1999;36+;18;43+;15;17.97;20;19;26;;;;;;
lead;Men;27;Alex;Waterhouse;GBR;1997;29+;24;37+;24;25.22;27;;;;;;;;
lead;Men;28;Hannes;Van Duysen;BEL;2004;25;30;41+;20;25.41;28;;;;;;;;
lead;Men;29;Marcello;Bombardi;ITA;1993;25;30;37+;24;28.89;29;;;;;;;;
lead;Men;30;Samuel;Butterworth;GBR;2001;30;21;33;42;30.4;30;;;;;;;;
lead;Men;31;Yannick;Nagel;GER;2005;29;25;34+;35;30.62;31;;;;;;;;
lead;Men;32;Benjamin;Hanna;USA;1998;25;30;35+;32;32.24;32;;;;;;;;
lead;Men;33;Maximillian;Milne;GBR;2000;25+;27;34+;35;32.4;33;;;;;;;;
lead;Men;34;Chi-fung;AU;HKG;1995;28;26;28;46;34.58;34;;;;;;;;
lead;Men;35;Daniel;Smith;GBR;2003;25+;27;31;45;35.5;35;;;;;;;;
lead;Men;36;Philipp;Martin;GER;1994;24+;34;34+;35;37.0;36;;;;;;;;
lead;Men;37;William;Ridal;GBR;1997;20+;44;36+;30;37.35;37;;;;;;;;
lead;Men;38;Giorgio;Tomatis;ITA;2003;20+;44;36;31;37.97;38;;;;;;;;
lead;Men;39;Oscar;Baudrand;CAN;2005;24+;34;34;41;38.68;39;;;;;;;;
lead;Men;40;Jack;MacDougall;GBR;2005;20+;44;35+;32;39.17;40;;;;;;;;
lead;Men;41;Kieran;Forrest;GBR;2000;21+;42;34+;35;39.92;41;;;;;;;;
lead;Men;41;Sunghoon;PARK;KOR;2003;21+;42;34+;35;39.92;41;;;;;;;;
lead;Men;43;Felipe ;Ho Foganholo;BRA;1999;19+;50;35+;32;40.62;43;;;;;;;;
lead;Men;44;Nikolay;Rusev;BUL;2006;24+;34;27+;47;41.42;44;;;;;;;;
lead;Men;45;Cheung-chi Shoji;Chan;HKG;1995;20+;44;34+;35;41.76;45;;;;;;;;
lead;Men;46;Christoph;Schweiger;GER;2001;22+;40;32;44;42.21;46;;;;;;;;
lead;Men;47;Hamish;McArthur;GBR;2002;24+;34;21;50;42.72;47;;;;;;;;
lead;Men;48;Dylan;Soin;AUS;2006;22+;40;22+;48;44.09;48;;;;;;;;
lead;Men;49;Jakub;Zietek;POL;2002;20+;44;32+;43;44.72;49;;;;;;;;
lead;Men;50;Joe;Goodacre;USA;2001;20+;44;21+;49;47.73;50;;;;;;;;
lead;Women;1;Ai;Mori;JPN;2003;TOP;1;TOP;1;4.47;1;TOP;1;;;;;TOP;1
lead;Women;2;Janja;Garnbret;SLO;1999;TOP;1;TOP;1;4.47;1;58;3;;;;;TOP;2
lead;Women;3;Chaehyun;SEO;KOR;2003;TOP;1;TOP;1;4.47;1;TOP;1;;;;;42+;3
lead;Women;4;Natsuki;Tanii;JPN;2003;TOP;1;TOP;1;4.47;1;54+;4;;;;;38+;4
lead;Women;5;Natalia;Grossman;USA;2001;TOP;1;TOP;1;4.47;1;49+;5;;;;;38+;5
