discipline;category;rank;firstname;lastname;country;yob;Qualification 1 score;Qualification 1 rank;Qualification 2 score;Qualification 2 rank;Qualification score;Qualification rank;Semi-final score;Semi-final rank;1/8 score;1/4 score;1/2 score;Small Final score;Final score;Final rank
lead;Men;1;Ao;YURIKUSA;JPN;2002;TOP;1;35+;4;4.74;3;36+;3;;;;;29;1
lead;Men;2;Masahiro;Higuchi;JPN;1992;TOP;1;35+;4;4.74;3;36+;3;;;;;28;2
lead;Men;3;Sebastian;Halenke;GER;1995;33+;10;TOP;1;4.9;6;36+;5;;;;;28;3
lead;Men;4;Hidemasa;Nishida;JPN;2002;34+;9;34;7;8.49;9;40+;1;;;;;27+;4
lead;Men;5;Satone;YOSHIDA;JPN;2004;TOP;1;TOP;1;3.0;1;37+;2;;;;;27+;5
lead;Men;6;Dohyun;LEE;KOR;2002;33;15;34;7;11.14;11;33+;8;;;;;27+;6
lead;Men;7;Luka;Potocar;SLO;2001;TOP;1;30+;11;7.04;8;33+;7;;;;;25+;7
lead;Men;8;RAVIANDI;RAMADHAN;INA;2002;30+;19;30;12;15.1;15;35;6;;;;;22+;8
lead;Men;9;Yoshiyuki;Ogata;JPN;1998;TOP;1;TOP;1;3.0;1;33;9;;;;;;
lead;Men;10;Sean;Bailey;USA;1996;31;18;34;7;12.0;12;32+;10;;;;;;
lead;Men;11;Mathias;Posch;AUT;1999;33+;10;26;23;16.61;18;32+;11;;;;;;
lead;Men;12;Taisei;Homma;JPN;1999;TOP;1;33+;10;6.71;7;31+;12;;;;;;
lead;Men;13;Jesse;Grupper;USA;1997;TOP;1;25+;24;10.39;10;31+;13;;;;;;
lead;Men;14;RAVIANTO;RAMADHAN;INA;2002;33;15;29+;13;14.73;14;31+;14;;;;;;
lead;Men;15;Oscar;Baudrand;CAN;2005;31+;17;28;17;17.0;19;31+;15;;;;;;
lead;Men;16;Sascha;Lehmann;SUI;1998;TOP;1;35+;4;4.74;3;27+;16;;;;;;
lead;Men;17;Milan;Preskar;SLO;1996;28+;22;28+;16;19.18;21;27;17;;;;;;
lead;Men;18;Cheung-chi Shoji;Chan;HKG;1995;13;40;29+;13;23.66;24;25+;18;;;;;;
lead;Men;19;MUSAUWIR;MUSAUWIR;INA;2004;28;25;27;19;22.08;23;24+;19;;;;;;
lead;Men;20;Alex;Waterhouse;GBR;1997;28+;22;29+;13;17.94;20;22+;20;;;;;;
lead;Men;21;MUHAMMAD;RIZKY SYAHRAFLI SIMATUPANG;INA;2004;29;21;24;27;24.03;25;22+;21;;;;;;
lead;Men;22;Jonas;Utelli;SUI;2003;33+;10;27+;18;14.7;13;21+;22;;;;;;
lead;Men;23;Hamish;McArthur;GBR;2002;33+;10;27;19;15.3;16;21+;23;;;;;;
lead;Men;24;Yuval;Shemla;ISR;1998;33+;10;26+;21;16.06;17;21+;24;;;;;;
lead;Men;25;Stefan;Scherz;AUT;2001;30;20;26+;21;20.74;22;21+;25;;;;;;
lead;Men;26;Philipp;Martin;GER;1994;28+;22;24;27;25.15;26;21+;26;;;;;;
lead;Men;27;Victor;Baudrand;CAN;2003;26+;26;23;29;27.93;27;;;;;;;;
lead;Men;28;Joe;Goodacre;USA;2001;25+;27;23;29;28.98;28;;;;;;;;
lead;Men;29;Chi-fung;AU;HKG;1995;22+;34;24+;26;29.73;29;;;;;;;;
lead;Men;30;Luke;GOH WEN BIN;SGP;2002;21+;35;25;25;29.79;30;;;;;;;;
lead;Men;31;PUTRA;TRI RAMADANI;INA;2005;25+;27;22+;32;30.17;31;;;;;;;;
lead;Men;32;SIGRID;BIM;INA;1999;24+;30;23;29;30.5;32;;;;;;;;
lead;Men;33;EVALL;SEPTY JAWARA;INA;1992;25+;27;21+;34;31.08;33;;;;;;;;
lead;Men;34;MUHAMMAD FERZA FERNADA;ABDI;INA;2003;24+;30;22+;32;31.74;34;;;;;;;;
lead;Men;35;Ka-chun;Yau;HKG;1992;24;33;21;36;34.47;35;;;;;;;;
lead;Men;36;FATCHUR;ROJI;INA;1996;24+;30;15;40;35.43;36;;;;;;;;
lead;Men;37;Chia Hsiang;Lin;TPE;1998;21+;35;19;37;36.24;37;;;;;;;;
lead;Men;38;Hritik;Marne;IND;2000;14;39;21+;34;36.68;38;;;;;;;;
lead;Men;39;Cheuk-nam;WONG;HKG;2001;17;38;18+;38;38.0;39;;;;;;;;
lead;Men;40;MUHAMMAD RAMZI;FIRMANSYAH;INA;2004;17+;37;15;40;38.71;40;;;;;;;;
lead;Men;41;Sahil;Khan;IND;2002;12+;41;17+;39;39.99;41;;;;;;;;
lead;Men;;Alberto;Ginés López;ESP;2002;DNS;;DNS;;DNS;;;;;;;;;
lead;Women;1;Janja;Garnbret;SLO;1999;TOP;1;TOP;1;1.94;1;41+;3;;;;;TOP;1
lead;Women;2;Chaehyun;SEO;KOR;2003;TOP;1;TOP;1;1.94;1;TOP;1;;;;;40;2
lead;Women;3;Mia;Krampl;SLO;2000;40;9;44+;4;6.36;7;31+;8;;;;;35+;3
lead;Women;4;Hannah;Meul;GER;2001;TOP;1;44+;4;3.35;4;TOP;2;;;;;34+;4
lead;Women;5;Laura;Rogora;ITA;2001;43+;5;43+;6;5.98;5;40;4;;;;;34+;5
lead;Women;6;Vita;Lukan;SLO;2000;TOP;1;45;3;2.74;3;34;7;;;;;34+;6
lead;Women;7;Ryu;NAKAGAWA;JPN;2004;42+;8;39+;8;8.25;8;34+;6;;;;;29+;7
lead;Women;8;Natsuki;Tanii;JPN;2003;43+;5;43+;6;5.98;5;35+;5;;;;;19+;8
lead;Women;9;Hana;KOIKE;JPN;2005;43;7;38+;10;8.57;9;31+;9;;;;;;
lead;Women;10;Risa;Ota;JPN;1993;37;11;39+;8;9.67;10;30+;10;;;;;;
lead;Women;11;Kyra;Condie;USA;1996;35+;13;34+;12;13.42;12;30+;11;;;;;;
lead;Women;12;Mei;Kotake;JPN;1997;38+;10;21+;18;13.96;13;30+;12;;;;;;
lead;Women;13;Alannah;Yip;CAN;1993;35+;13;26+;15;15.25;15;26+;13;;;;;;
lead;Women;14;Käthe;Atkins;GER;2001;31+;19;32+;13;15.72;16;25+;14;;;;;;
lead;Women;15;Noa;Shiran;ISR;2001;29+;21;26+;15;18.04;18;25+;15;;;;;;
lead;Women;16;Eliska;Adamovska;CZE;2001;36;12;22;17;14.28;14;25;16;;;;;;
lead;Women;17;Michaela;Smetanova;CZE;2003;35+;13;38+;10;12.55;11;24+;17;;;;;;
lead;Women;18;Martina;Demmel;GER;2001;35+;13;21;22;18.57;20;24+;18;;;;;;
lead;Women;19;Hung Ying;Lee;TPE;1985;27+;23;21;22;23.49;24;24;19;;;;;;
lead;Women;20;Yejoo;SEO;KOR;2006;28;22;21+;18;20.71;22;23+;20;;;;;;
