discipline;category;rank;firstname;lastname;country;yob;Qualification 1 score;Qualification 1 rank;Qualification 2 score;Qualification 2 rank;Qualification score;Qualification rank;Semi-Final score;Semi-Final rank;1/8 score;1/4 score;1/2 score;Small Final score;Final score;Final rank
lead;Men;1;Sean;Bailey;USA;1996;TOP;1;32+;18;9.64;7;40;2;;;;;38;1
lead;Men;2;Alexander;Megos;GER;1993;39+;8;TOP;1;5.61;2;37+;3;;;;;35+;2
lead;Men;3;Colin;Duffy;USA;2003;38+;16;TOP;1;7.04;4;36;7;;;;;31+;3
lead;Men;4;Sebastian;Halenke;GER;1995;39+;8;32+;18;18.04;19;37+;4;;;;;26.5+;4
lead;Men;5;Alberto;Ginés López;ESP;2002;39+;8;33;15;12.96;12;40+;1;;;;;26.5;5
lead;Men;6;Paul;Jenft;FRA;2003;35;21;TOP;1;8.31;6;36;8;;;;;26;6
lead;Men;7;Masahiro;Higuchi;JPN;1992;39+;8;32+;18;18.04;19;37+;4;;;;;12;7
lead;Men;8;Zento;MURASHITA;JPN;2004;35;21;34;8;14.78;15;36+;6;;;;;11+;8
lead;Men;9;Kokoro;Fujii;JPN;1992;TOP;1;32+;18;9.64;7;36;9;;;;;;
lead;Men;10;Dmitrii;Fakirianov;RUS;1994;41;7;32+;18;14.73;14;36;10;;;;;;
lead;Men;11;Stefano;Ghisolfi;ITA;1993;43+;6;TOP;1;4.24;1;35+;11;;;;;;
lead;Men;12;Sascha;Lehmann;SUI;1998;TOP;1;33;15;6.93;3;34+;12;;;;;;
lead;Men;13;Satone;YOSHIDA;JPN;2004;38+;16;38+;6;10.36;11;34+;13;;;;;;
lead;Men;14;Shuta;Tanaka;JPN;2000;39+;8;32+;18;18.04;19;34+;14;;;;;;
lead;Men;15;Domen;Skofic;SLO;1994;TOP;1;32+;18;9.64;7;33+;15;;;;;;
lead;Men;16;Mathias;Posch;AUT;1999;36+;20;34;8;13.78;13;31+;16;;;;;;
lead;Men;17;Sohta;Amagasa;JPN;2000;31+;35;38+;6;15.3;18;31+;17;;;;;;
lead;Men;18;Marcello;Bombardi;ITA;1993;34+;26;33+;12;18.56;23;31;18;;;;;;
lead;Men;19;Victor;Baudrand;CAN;2003;34;28;33+;12;19.08;24;29+;19;;;;;;
lead;Men;20;Hannes;Puman;SWE;1997;35;21;34;8;14.78;15;28+;20;;;;;;
lead;Men;21;Nimrod;Marcus;ISR;1999;39;14;33;15;15.23;17;28+;21;;;;;;
lead;Men;22;Nathaniel;Coleman;USA;1997;33+;29;33+;12;20.07;25;28+;22;;;;;;
lead;Men;23;Nicolas;Collin;BEL;1998;39;14;32+;18;21.2;26;28+;23;;;;;;
lead;Men;24;Martin;Bergant;SLO;1996;37;19;TOP;1;7.55;5;28;24;;;;;;
lead;Men;25;Luka;Potocar;SLO;2001;TOP;1;32+;18;9.64;7;28;25;;;;;;
lead;Men;26;Alberto;Gotta;ITA;1992;39+;8;32+;18;18.04;19;26+;26;;;;;;
lead;Men;27;Mark;Brand;NED;1998;24;56;34;8;23.27;27;;;;;;;;
lead;Men;28;Stefan;Scherz;AUT;2001;35;21;32+;18;26.7;28;;;;;;;;
lead;Men;28;Philipp;Martin;GER;1994;35;21;32+;18;26.7;28;;;;;;;;
lead;Men;30;Milan;Preskar;SLO;1996;34+;26;32+;18;28.66;30;;;;;;;;
lead;Men;31;Rishat;Khaibullin;KAZ;1995;38;18;31+;45;29.09;31;;;;;;;;
lead;Men;32;Martin;Stranik;CZE;1990;33+;29;32+;18;31.0;32;;;;;;;;
lead;Men;32;Ellis;Ernsberger;USA;2003;33+;29;32+;18;31.0;32;;;;;;;;
lead;Men;34;Aleksey;Rubtsov;RUS;1988;32;34;32+;18;32.47;34;;;;;;;;
lead;Men;35;Martin;Tekles;GER;1991;31+;35;32+;18;33.41;35;;;;;;;;
lead;Men;35;Louis;Gundolf;AUT;2001;31+;35;32+;18;33.41;35;;;;;;;;
lead;Men;37;Mikel Asier;Linacisoro Molina;ESP;2000;30+;41;32+;18;35.87;37;;;;;;;;
lead;Men;38;Mejdi;Schalck;FRA;2004;30;43;32+;18;36.93;38;;;;;;;;
lead;Men;38;Adrien;Lemaire;FRA;1999;30;43;32+;18;36.93;38;;;;;;;;
lead;Men;38;Dylan;Chuat;SUI;2000;30;43;32+;18;36.93;38;;;;;;;;
lead;Men;41;Fedir;Samoilov;UKR;1997;29+;46;32+;18;38.17;41;;;;;;;;
lead;Men;42;Michael;Piccolruaz;ITA;1995;27+;50;32+;18;39.57;42;;;;;;;;
lead;Men;43;Leto;Cavé;NED;2002;26+;52;32+;18;40.34;43;;;;;;;;
lead;Men;44;Jonas;Brandenburger;GER;2001;33+;29;27+;56;41.85;44;;;;;;;;
lead;Men;45;Nikolai;Iarilovets;RUS;1999;33+;29;27;58;42.77;45;;;;;;;;
lead;Men;46;Nino;Grünenfelder;SUI;2001;31;38;31+;45;42.81;46;;;;;;;;
lead;Men;47;Jakub;Zietek;POL;2002;30+;41;31+;45;44.16;47;;;;;;;;
lead;Men;47;Christoph;Hanke;GER;1994;31;38;30;50;44.16;47;;;;;;;;
lead;Men;49;Sergei;Luzhetskii;RUS;1995;17+;63;32+;18;44.54;49;;;;;;;;
lead;Men;49;Julien;Clémence;SUI;2001;17+;63;32+;18;44.54;49;;;;;;;;
lead;Men;51;Timothy;Kang;USA;1999;29+;46;31+;45;47.0;51;;;;;;;;
lead;Men;52;Peter;Kuric;SVK;2001;31;38;27;58;47.97;52;;;;;;;;
lead;Men;53;Oscar;Baudrand;CAN;2005;29+;46;29+;51;49.2;53;;;;;;;;
lead;Men;54;Sean;Faulkner;CAN;2000;26+;52;31+;45;49.67;54;;;;;;;;
lead;Men;55;Ziga;Zajc;SLO;2001;28;49;28+;53;50.96;55;;;;;;;;
lead;Men;56;Dimitri;Vogt;SUI;1997;27+;50;27+;56;53.42;56;;;;;;;;
lead;Men;57;Tomas;Plevko;SVK;1999;24;56;29+;51;54.18;57;;;;;;;;
lead;Men;58;Yuval;Shemla;ISR;1998;24+;54;27;58;56.71;58;;;;;;;;
lead;Men;59;Fredrik;Serlachius;SWE;1998;23;61;28;54;57.66;59;;;;;;;;
lead;Men;60;Leonid;Osadchyi;UKR;2001;24+;54;25+;63;58.6;60;;;;;;;;
lead;Men;61;Andoni;Esparta Frade;ESP;2001;24;56;26+;61;59.21;61;;;;;;;;
lead;Men;62;Ludovico;Fossali;ITA;1997;4;68;28;54;60.88;62;;;;;;;;
lead;Men;63;Guillem;Monsech Gasca;ESP;2000;23+;59;25;64;61.71;63;;;;;;;;
lead;Men;64;Or;Miniely;ISR;1997;23+;59;24+;65;62.19;64;;;;;;;;
lead;Men;65;Fabian;Förander;SWE;1998;17;66;26+;61;63.71;65;;;;;;;;
lead;Men;66;Christian;Wagner;CHI;2002;21+;62;19+;67;64.45;66;;;;;;;;
lead;Men;67;Yotam;Ben reuven;ISR;2001;17+;63;22+;66;64.99;67;;;;;;;;
lead;Men;68;Bohdan;Botnar;UKR;2001;14+;67;11+;68;67.5;68;;;;;;;;
lead;Men;;Filip;Schenk;ITA;2000;DNS;;DNS;;DNS;;;;;;;;;
lead;Women;1;Janja;Garnbret;SLO;1999;TOP;1;TOP;1;1.41;1;TOP;1;;;;;TOP;1
lead;Women;2;Laura;Rogora;ITA;2001;20+;17;TOP;1;7.35;6;45+;2;;;;;TOP;2
lead;Women;3;Natalia;Grossman;USA;2001;35+;5;40+;4;5.24;4;34+;8;;;;;42+;3
lead;Women;4;Momoko;ABE;JPN;2003;36+;3;TOP;1;2.65;2;35+;5;;;;;40+;4
lead;Women;5;Vita;Lukan;SLO;2000;20+;17;40+;4;12.19;11;35+;6;;;;;40+;5
lead;Women;6;Aleksandra;Totkova;BUL;2005;32+;6;35+;11;8.46;7;36+;4;;;;;33+;6
lead;Women;7;Lucka;Rakovec;SLO;2001;37;2;40+;4;3.32;3;40+;3;;;;;17+;7
lead;Women;8;Mia;Krampl;SLO;2000;36+;3;35;12;6.48;5;35;7;;;;;17+;8
lead;Women;9;Salomé;Romain;FRA;1996;25+;11;39+;9;9.95;9;34+;9;;;;;;
lead;Women;10;Julia;Chanourdie;FRA;1996;30+;8;32+;14;11.22;10;34+;10;;;;;;
