discipline;category;rank;firstname;lastname;country;yob;Qualification 1 score;Qualification 1 rank;Qualification 2 score;Qualification 2 rank;Qualification score;Qualification rank;Semi-final score;Semi-final rank;1/8 score;1/4 score;1/2 score;Small Final score;Final score;Final rank
lead;Men;1;Taisei;Homma;JPN;1999;TOP;1;32+;9;5.61;5;30+;7;;;;;36+;1
lead;Men;2;Jesse;Grupper;USA;1997;29+;17;35;2;7.94;7;36;1;;;;;34+;2
lead;Men;3;Colin;Duffy;USA;2003;TOP;1;35;2;3.24;2;34;2;;;;;34;3
lead;Men;4;Yannick;Flohé;GER;1999;31+;13;34+;6;9.54;10;31+;4;;;;;33;4
lead;Men;5;Satone;YOSHIDA;JPN;2004;32+;10;34;8;9.38;9;33+;3;;;;;27+;5
lead;Men;6;Yoshiyuki;Ogata;JPN;1998;TOP;1;26+;33;10.68;11;31;5;;;;;26+;6
lead;Men;7;Mejdi;Schalck;FRA;2004;29+;17;30;15;17.49;16;30+;8;;;;;19+;7
lead;Men;8;Ao;YURIKUSA;JPN;2002;TOP;1;36;1;1.73;1;30+;6;;;;;18+;8
lead;Men;9;Stefan;Scherz;AUT;2001;33;8;22+;51;21.52;18;30+;9;;;;;;
lead;Men;10;Paul;Jenft;FRA;2003;30;16;29+;20;18.76;17;30;10;;;;;;
lead;Men;11;Luka;Potocar;SLO;2001;37;6;35;2;4.77;3;29+;11;;;;;;
lead;Men;12;Domen;Skofic;SLO;1994;32+;10;32+;9;10.75;12;29+;12;;;;;;
lead;Men;13;Dohyun;LEE;KOR;2002;31+;13;31;14;14.0;14;29+;13;;;;;;
lead;Men;14;Nicolas;Collin;BEL;1998;29+;17;27+;28;23.24;19;29+;14;;;;;;
lead;Men;15;Sean;Bailey;USA;1996;33;8;35;2;5.45;4;26+;15;;;;;;
lead;Men;16;Diego;Fourbet;FRA;2002;21+;32;30;15;27.5;22;26+;16;;;;;;
lead;Men;17;Kokoro;Fujii;JPN;1992;TOP;1;32+;9;5.61;5;26;17;;;;;;
lead;Men;18;Alexander;Megos;GER;1993;37;6;32+;9;8.26;8;21;18;;;;;;
lead;Men;19;Sascha;Lehmann;SUI;1998;24+;24;34+;6;13.37;13;21;19;;;;;;
lead;Men;20;Masahiro;Higuchi;JPN;1992;28;21;26+;33;28.25;26;21;20;;;;;;
lead;Men;21;Hannes;Puman;SWE;1997;32+;10;28+;25;16.75;15;18+;21;;;;;;
lead;Men;22;Victor;Baudrand;CAN;2003;24+;24;29+;20;24.6;21;17+;22;;;;;;
lead;Men;23;Romaric;GEFFROY;FRA;1996;21+;32;30;15;27.5;22;17;23;;;;;;
lead;Men;24;Nimrod;Marcus;ISR;1999;21+;32;30;15;27.5;22;16+;24;;;;;;
lead;Men;25;Shinyeong;YUN;KOR;1995;28+;20;26+;33;27.57;25;16;25;;;;;;
lead;Men;26;Hugo;Parmentier;FRA;1998;21+;32;32;13;24.05;20;8;26;;;;;;
lead;Men;27;Jonas;Utelli;SUI;2003;24+;24;27+;28;28.72;27;;;;;;;;
lead;Men;27;Yuval;Shemla;ISR;1998;24+;24;27+;28;28.72;27;;;;;;;;
lead;Men;29;James;Pope;GBR;1998;21+;32;29+;20;31.29;29;;;;;;;;
lead;Men;29;Hamish;McArthur;GBR;2002;21+;32;29+;20;31.29;29;;;;;;;;
lead;Men;29;Martin;Bergant;SLO;1996;21+;32;29+;20;31.29;29;;;;;;;;
lead;Men;32;Cheung-chi Shoji;Chan;HKG;1995;24+;24;26+;33;32.33;32;;;;;;;;
lead;Men;32;Maximillian;Milne;GBR;2000;24+;24;26+;33;32.33;32;;;;;;;;
lead;Men;34;Sebastian;Halenke;GER;1995;21+;32;28+;25;33.69;34;;;;;;;;
lead;Men;35;Giovanni;Placci;ITA;2001;31+;13;2+;81;33.78;35;;;;;;;;
lead;Men;36;Nikolay;Rusev;BUL;2006;27+;22;22+;51;34.63;36;;;;;;;;
lead;Men;37;Martin;Stranik;CZE;1990;21+;32;28;27;34.66;37;;;;;;;;
lead;Men;38;Sungsu;LEE;KOR;1999;13+;72;30;15;35.35;38;;;;;;;;
lead;Men;39;Mikel Asier;Linacisoro Molina;ESP;2000;24+;24;25+;45;35.37;39;;;;;;;;
lead;Men;40;Dimitri;Vogt;SUI;1997;26+;23;22+;51;35.4;40;;;;;;;;
lead;Men;41;Milan;Preskar;SLO;1996;21+;32;27+;28;36.54;41;;;;;;;;
lead;Men;41;Mathias;Posch;AUT;1999;21+;32;27+;28;36.54;41;;;;;;;;
lead;Men;43;YONGCHEN;CHEN;CHN;2002;24+;24;23;50;37.08;43;;;;;;;;
lead;Men;44;Anthony;Gullsten;FIN;1991;21+;32;26+;33;41.12;44;;;;;;;;
lead;Men;44;Leto;Cavé;NED;2002;21+;32;26+;33;41.12;44;;;;;;;;
lead;Men;44;Campbell;Harrison;AUS;1997;21+;32;26+;33;41.12;44;;;;;;;;
lead;Men;44;Alex;Waterhouse;GBR;1997;21+;32;26+;33;41.12;44;;;;;;;;
lead;Men;48;Giorgio;Tomatis;ITA;2003;21+;32;26;44;44.25;48;;;;;;;;
lead;Men;49;Ross;Fulkerson;USA;2001;21+;32;24+;47;45.73;49;;;;;;;;
lead;Men;50;Jongwon;CHON;KOR;1996;21+;32;24;48;46.22;50;;;;;;;;
lead;Men;51;Oscar;Baudrand;CAN;2005;21+;32;23+;49;46.7;51;;;;;;;;
lead;Men;52;Nino;Grünenfelder;SUI;2001;17+;59;26+;33;48.54;52;;;;;;;;
lead;Men;53;Santiago;De Alba Flores;MEX;1992;21+;32;22+;51;49.25;53;;;;;;;;
lead;Men;53;Fredrik;Serlachius;SWE;1998;21+;32;22+;51;49.25;53;;;;;;;;
lead;Men;53;Benjamin;Hanna;USA;1998;21+;32;22+;51;49.25;53;;;;;;;;
lead;Men;53;Vasil;Vassilev;BUL;2004;21+;32;22+;51;49.25;53;;;;;;;;
lead;Men;57;William;Ridal;GBR;1997;19;58;25+;45;51.37;57;;;;;;;;
lead;Men;58;Fedir;Samoilov;UKR;1997;13;76;26+;33;53.74;58;;;;;;;;
lead;Men;59;Cheuk-hei;HO;HKG;1998;21+;32;5+;77;58.73;59;;;;;;;;
lead;Men;60;Filip;Schenk;ITA;2000;21+;32;3+;80;59.67;60;;;;;;;;
lead;Men;61;Kibeom;KWON;KOR;2006;21+;32;"";;60.96;61;;;;;;;;
lead;Men;62;Guy;McNamee;CAN;2002;17+;59;21+;59;60.99;62;;;;;;;;
lead;Men;62;JINBIN;HUANG;CHN;2005;17+;59;21+;59;60.99;62;;;;;;;;
lead;Men;62;Benjamin;Vargas;CHI;1999;17+;59;21+;59;60.99;62;;;;;;;;
lead;Men;65;Joe;Goodacre;USA;2001;17+;59;20+;62;62.5;65;;;;;;;;
lead;Men;65;Jakub;Zietek;POL;2002;17+;59;20+;62;62.5;65;;;;;;;;
