City,Country,Year,Ds,Event,discipline,category,rank,firstname,lastname,country,yob,Qualification 1 score,Qualification 1 rank,Qualification 2 score,Qualification 2 rank,Qualification score,Qualification rank,Semi-final score,Semi-final rank,1/8 score,1/4 score,1/2 score,Small Final score,Final score,Final rank
Chamonix,FRA,2022,LS,WC,lead,Men,1,Adam,Ondra,CZE,1993,TOP,1,TOP,1,8.83,1,TOP,1,,,,,39+,1
Chamonix,FRA,2022,LS,WC,lead,Men,2,Taisei,Homma,JPN,1999,TOP,1,TOP,1,8.83,1,36+,6,,,,,39+,2
Chamonix,FRA,2022,LS,WC,lead,Men,3,Sean,Bailey,USA,1996,TOP,1,TOP,1,8.83,1,TOP,1,,,,,29+,3
Chamonix,FRA,2022,LS,WC,lead,Men,4,Luka,Potocar,SLO,2001,TOP,1,41+,12,13,12,TOP,3,,,,,29+,4
Chamonix,FRA,2022,LS,WC,lead,Men,5,Yannick,Flohé,GER,1999,TOP,1,TOP,1,8.83,1,36+,6,,,,,29+,5
Chamonix,FRA,2022,LS,WC,lead,Men,6,Sam,Avezou,FRA,2001,TOP,1,39+,20,16.12,16,40+,5,,,,,25+,6
Chamonix,FRA,2022,LS,WC,lead,Men,7,Hamish,McArthur,GBR,2002,TOP,1,TOP,1,8.83,1,36+,6,,,,,25+,7
Chamonix,FRA,2022,LS,WC,lead,Men,8,Sascha,Lehmann,SUI,1998,TOP,1,TOP,1,8.83,1,36+,6,,,,,20+,8
Chamonix,FRA,2022,LS,WC,lead,Men,9,Satone,YOSHIDA,JPN,2004,TOP,1,40+,17,15.08,15,TOP,4,,,,,12,9
Chamonix,FRA,2022,LS,WC,lead,Men,10,Hannes,Puman,SWE,1997,TOP,1,34,44,24.45,24,36+,10,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Men,11,Stefan,Scherz,AUT,2001,TOP,1,TOP,1,8.83,1,35+,11,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Men,12,Dohyun,LEE,KOR,2002,TOP,1,TOP,1,8.83,1,34+,12,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Men,12,Domen,Skofic,SLO,1994,TOP,1,TOP,1,8.83,1,34+,12,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Men,14,Paul,Jenft,FRA,2003,TOP,1,41+,12,13,12,34+,14,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Men,15,Arsène,Duval,FRA,1999,TOP,1,39,21,16.72,17,34+,15,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Men,16,Filip,Schenk,ITA,2000,TOP,1,37+,23,17.29,18,34+,16,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Men,17,Masahiro,Higuchi,JPN,1992,TOP,1,36+,27,18.73,19,34+,17,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Men,18,Mathias,Posch,AUT,1999,35+,26,41,15,20.27,21,34+,18,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Men,19,Kokoro,Fujii,JPN,1992,TOP,1,41,15,14.2,14,33+,19,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Men,20,Colin,Duffy,USA,2003,35,28,40+,17,22.33,23,33+,20,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Men,21,Romaric,GEFFROY,FRA,1996,TOP,1,34+,32,22.08,22,31+,21,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Men,22,Milan,Preskar,SLO,1996,34+,30,41+,12,20.07,20,30+,22,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Men,23,Sebastian,Halenke,GER,1995,TOP,1,34,44,24.45,24,30+,23,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Men,23,Jeremy,Bonder,FRA,1991,TOP,1,34,44,24.45,24,30+,23,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Men,25,James,Pope,GBR,1998,TOP,1,TOP,1,8.83,1,29+,25,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Men,26,Alexander,Megos,GER,1993,TOP,1,TOP,1,8.83,1,13,26,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Men,27,Philipp,Martin,GER,1994,TOP,1,33,59,27.81,27,,,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Men,28,Ao,YURIKUSA,JPN,2002,32,41,40,19,28.75,28,,,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Men,29,Diego,Fourbet,FRA,2002,34+,30,35+,28,29.98,29,,,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Men,30,Martin,Stranik,CZE,1990,33+,33,35+,28,31.17,30,,,,,,,,
