"country","discipline","Medalist"
"ARG","boulder",0
"ARG","lead",0
"ARG","speed",0
"AUS","boulder",0
"AUS","lead",0
"AUS","speed",0
"AUT","boulder",1
"AUT","combined",1
"AUT","lead",1
"AUT","speed",1
"BEL","boulder",0
"BEL","boulder&lead",0
"BEL","lead",0
"BGR","boulder",0
"BGR","lead",1
"BLR","boulder",0
"BLR","lead",0
"BRA","boulder",0
"BRA","boulder&lead",0
"BRA","lead",0
"CAN","boulder",0
"CAN","boulder&lead",0
"CAN","lead",0
"CAN","speed",0
"CHE","boulder",1
"CHE","boulder&lead",0
"CHE","lead",1
"CHE","speed",0
"CHL","boulder",0
"CHL","lead",0
"CHL","speed",0
"CHN","boulder",1
"CHN","boulder&lead",0
"CHN","lead",0
"CHN","speed",6
"CZE","boulder",1
"CZE","lead",3
"CZE","speed",0
"DEU","boulder",2
"DEU","boulder&lead",0
"DEU","combined",2
"DEU","lead",3
"DEU","speed",0
"DNK","boulder",0
"DNK","speed",0
"ECU","boulder",0
"ECU","combined",0
"ECU","lead",0
"ECU","speed",0
"ESP","boulder",0
"ESP","lead",0
"ESP","speed",1
"FIN","boulder",0
"FIN","lead",0
"FRA","boulder",3
"FRA","boulder&lead",0
"FRA","lead",0
"FRA","speed",0
"GBR","boulder",1
"GBR","boulder&lead",0
"GBR","lead",2
"GBR","speed",0
"GRC","boulder",0
"GRC","lead",0
"HKG","boulder",0
"HKG","boulder&lead",0
"HKG","lead",0
"HKG","speed",0
"HRV","boulder",0
"HRV","lead",0
"HUN","boulder",0
"HUN","lead",0
"IDN","boulder",0
"IDN","boulder&lead",0
"IDN","lead",0
"IDN","speed",5
"IND","boulder",0
"IND","combined",0
"IND","lead",0
"IND","speed",0
"IRL","boulder",0
"IRL","lead",0
"IRN","boulder",0
"IRN","combined",1
"IRN","lead",0
"IRN","speed",0
"ISR","boulder",0
"ISR","boulder&lead",0
"ISR","lead",0
"ITA","boulder",1
"ITA","lead",2
"ITA","speed",1
"JPN","boulder",6
"JPN","boulder&lead",4
"JPN","lead",5
"JPN","speed",1
"KAZ","boulder",0
"KAZ","combined",0
"KAZ","lead",0
"KAZ","speed",0
"KOR","boulder",1
"KOR","boulder&lead",1
"KOR","lead",1
"KOR","speed",0
"LTU","boulder",0
"LTU","lead",0
"LUX","boulder",0
"LVA","boulder",0
"LVA","lead",0
"MEX","boulder",0
"MEX","lead",0
"MEX","speed",0
"MNG","boulder&lead",0
"MUS","boulder",0
"MUS","lead",0
"MUS","speed",0
"NLD","boulder",0
"NLD","lead",0
"NOR","boulder",0
"NOR","boulder&lead",0
"NOR","lead",0
"NZL","boulder",0
"NZL","lead",0
"NZL","speed",0
"PER","boulder",0
"POL","boulder",0
"POL","lead",0
"POL","speed",5
"PRI","boulder",0
"PRI","lead",0
"ROU","boulder",0
"RUS","boulder",0
"RUS","lead",1
"RUS","speed",3
"SGP","boulder",0
"SGP","boulder&lead",0
"SGP","lead",0
"SRB","boulder",1
"SRB","lead",0
"SVK","boulder",0
"SVK","lead",0
"SVK","speed",0
"SVN","boulder",2
"SVN","boulder&lead",0
"SVN","combined",1
"SVN","lead",4
"SVN","speed",0
"SWE","boulder",0
"SWE","boulder&lead",0
"SWE","lead",0
"THA","boulder",0
"THA","lead",0
"THA","speed",0
"TUR","boulder",0
"TUR","combined",0
"TUR","lead",0
"TUR","speed",0
"TWN","boulder",0
"TWN","boulder&lead",0
"TWN","combined",0
"TWN","lead",0
"TWN","speed",0
"UKR","boulder",0
"UKR","combined",1
"UKR","lead",0
"UKR","speed",1
"USA","boulder",4
"USA","boulder&lead",1
"USA","lead",5
"USA","speed",3
"ZAF","boulder",0
"ZAF","combined",0
"ZAF","lead",0
"ZAF","speed",0
