"fullname","discipline","category","Age","country","rank"
"Aaron Mattes","speed","Men",20,"AUS",47
"Aaron Mattes","speed","Men",20,"AUS",47
"Aaron Peñaranda","boulder","Men",21,"ECU",85
"Aaron Peñaranda","combined","Men",21,"ECU",11
"Aaron Peñaranda","lead","Men",21,"ECU",83
"Aaron Peñaranda","speed","Men",21,"ECU",39
"Abby Gebert","speed","Women",18,"NZL",35
"ABDUL ROCHMAN SYARIFAH","lead","Women",29,"IDN",52
"Ádám Bakurecz","boulder","Men",20,"HUN",59
"Ádám Bakurecz","boulder","Men",20,"HUN",59
"Adam Ondra","boulder","Men",28,"CZE",1
"Adam Ondra","boulder","Men",28,"CZE",1
"Adam Ondra","lead","Men",28,"CZE",1
"Adam Ondra","lead","Men",28,"CZE",1
"Addyson Tallent","speed","Women",16,"USA",25
"Adela Bajerova","boulder","Women",18,"CZE",69
"Adela Bajerova","boulder","Women",18,"CZE",69
"ADITYA TRI SYAHRIA","speed","Men",19,"IDN",11
"Adrien Lemaire","boulder","Men",23,"FRA",23
"Adrien Lemaire","boulder","Men",23,"FRA",23
"Adrien Lemaire","lead","Men",23,"FRA",32
"Adrien Lemaire","lead","Men",23,"FRA",32
"Adrien Lemaire","lead","Men",23,"FRA",32
"Adrien Lemaire","lead","Men",23,"FRA",32
"Adrien Lemaire","lead","Men",23,"FRA",32
"Adriene Clark","boulder","Women",18,"USA",17
"Adriene Clark","boulder","Women",18,"USA",17
"Adriene Clark","boulder","Women",18,"USA",17
"Adriene Clark","boulder","Women",18,"USA",17
"Afra Hönig","boulder","Women",26,"DEU",11
"Afra Hönig","boulder","Women",26,"DEU",11
"Afra Hönig","boulder","Women",26,"DEU",11
"Afra Hönig","boulder","Women",26,"DEU",11
"Afra Hönig","boulder","Women",26,"DEU",11
"Afra Hönig","boulder","Women",26,"DEU",11
"Afra Hönig","boulder","Women",26,"DEU",11
"Afra Hönig","boulder","Women",26,"DEU",11
"Afra Hönig","boulder","Women",26,"DEU",11
"Afra Hönig","boulder","Women",26,"DEU",11
"Agathe Calliet","boulder","Women",19,"FRA",24
"Agathe Calliet","boulder","Women",19,"FRA",24
"Agniete Baltrune","boulder","Women",26,"LTU",69
"Agniete Baltrune","boulder","Women",26,"LTU",69
"Ai Mori","boulder&lead","Women",19,"JPN",1
"Ai Mori","lead","Women",19,"JPN",1
"Ai Mori","lead","Women",19,"JPN",1
"Ai TAKEUCHI","speed","Women",17,"JPN",19
"Ai TAKEUCHI","speed","Women",17,"JPN",19
"Ai TAKEUCHI","speed","Women",17,"JPN",19
"Aida Torres Illamola","boulder","Women",20,"ESP",35
"Aida Torres Illamola","boulder","Women",20,"ESP",35
"Aida Torres Illamola","boulder","Women",20,"ESP",35
"Aida Torres Illamola","boulder","Women",20,"ESP",35
"Aida Torres Illamola","boulder","Women",20,"ESP",35
"Aida Torres Illamola","boulder","Women",20,"ESP",35
"Aida Torres Illamola","boulder","Women",20,"ESP",35
"Aida Torres Illamola","boulder","Women",20,"ESP",35
"Aida Torres Illamola","boulder","Women",20,"ESP",35
"Aida Torres Illamola","lead","Women",19,"ESP",47
"Aida Torres Illamola","lead","Women",19,"ESP",47
"Aida Torres Illamola","lead","Women",19,"ESP",47
"Aida Torres Illamola","lead","Women",19,"ESP",47
"Aida Torres Illamola","lead","Women",19,"ESP",47
"Aida Torres Illamola","lead","Women",19,"ESP",47
"Akihisa KAJI","speed","Men",20,"JPN",26
"Akihisa KAJI","speed","Men",20,"JPN",26
"Akihisa KAJI","speed","Men",20,"JPN",26
"Akiyo Noguchi","boulder","Women",32,"JPN",4
"Akiyo Noguchi","boulder","Women",32,"JPN",4
"Akiyo Noguchi","boulder","Women",32,"JPN",4
"Akiyo Noguchi","lead","Women",32,"JPN",3
"Akiyo Noguchi","speed","Women",32,"JPN",13
"Alannah Yip","boulder","Women",29,"CAN",10
"Alannah Yip","boulder","Women",29,"CAN",10
"Alannah Yip","boulder","Women",29,"CAN",10
"Alannah Yip","boulder","Women",29,"CAN",10
"Alannah Yip","boulder","Women",29,"CAN",10
"Alannah Yip","boulder","Women",29,"CAN",10
"Alannah Yip","boulder&lead","Women",29,"CAN",24
"Alannah Yip","lead","Women",29,"CAN",13
"Alannah Yip","lead","Women",29,"CAN",13
"Alannah Yip","lead","Women",29,"CAN",13
"Alannah Yip","lead","Women",29,"CAN",13
"Alannah Yip","lead","Women",29,"CAN",13
"Alannah Yip","lead","Women",29,"CAN",13
"Alannah Yip","lead","Women",29,"CAN",13
"Albert  Ilsaas Suthurst","boulder","Men",20,"NOR",75
"Alberto Ginés López","boulder","Men",20,"ESP",11
"Alberto Ginés López","boulder","Men",20,"ESP",11
"Alberto Ginés López","boulder","Men",20,"ESP",11
"Alberto Ginés López","boulder","Men",20,"ESP",11
"Alberto Ginés López","boulder","Men",20,"ESP",11
"Alberto Ginés López","boulder","Men",20,"ESP",11
"Alberto Ginés López","lead","Men",20,"ESP",5
"Alberto Ginés López","lead","Men",20,"ESP",5
"Alberto Ginés López","lead","Men",20,"ESP",5
"Alberto Ginés López","lead","Men",20,"ESP",5
"Alberto Ginés López","lead","Men",20,"ESP",5
"Alberto Ginés López","lead","Men",20,"ESP",5
"Alberto Ginés López","speed","Men",20,"ESP",31
"Alberto Gotta","lead","Men",30,"ITA",25
"Alberto Gotta","lead","Men",30,"ITA",25
"Alberto Gotta","lead","Men",30,"ITA",25
"Alberto Gotta","lead","Men",30,"ITA",25
"Alberto Gotta","lead","Men",30,"ITA",25
"Alejandra Contreras","boulder","Women",21,"CHL",43
"Alejandra Contreras","boulder","Women",21,"CHL",43
"Alejandra Contreras","boulder","Women",21,"CHL",43
"Alejandra Contreras","boulder","Women",21,"CHL",43
"Alejandra Contreras","boulder","Women",21,"CHL",43
"Alejandra Contreras","boulder","Women",21,"CHL",43
"Alejandra Contreras","boulder","Women",21,"CHL",43
"Alejandra Contreras","lead","Women",21,"CHL",43
"Alejandra Contreras","lead","Women",21,"CHL",43
"Alejandra Contreras","lead","Women",21,"CHL",43
"Alejandra Contreras","lead","Women",21,"CHL",43
"Alejandra Contreras","lead","Women",21,"CHL",43
"Alejandra Contreras","lead","Women",21,"CHL",43
"Alejandra Contreras","speed","Women",22,"CHL",18
"Alejandra Contreras","speed","Women",22,"CHL",18
"Alejandra Contreras","speed","Women",22,"CHL",18
"Alejandra Contreras","speed","Women",22,"CHL",18
"Alejandra Contreras","speed","Women",22,"CHL",18
"Alejandro Crespo Cobos","boulder","Men",24,"ESP",49
"Alejandro Crespo Cobos","boulder","Men",24,"ESP",49
"Alejandro Crespo Cobos","boulder","Men",24,"ESP",49
"Alejandro Crespo Cobos","boulder","Men",24,"ESP",49
"Alejandro Crespo Cobos","boulder","Men",24,"ESP",49
"Alejandro Crespo Cobos","boulder","Men",24,"ESP",49
"Alejandro Rivas Domínguez","speed","Men",21,"ESP",40
"Alejandro Rivas Domínguez","speed","Men",21,"ESP",40
"Alejandro Rivas Domínguez","speed","Men",21,"ESP",40
"Aleksandr Shikov","speed","Men",24,"RUS",6
"Aleksandr Shikov","speed","Men",24,"RUS",6
"Aleksandr Shilov","speed","Men",28,"RUS",24
"Aleksandra Kalucka","lead","Women",20,"POL",46
"Aleksandra Kalucka","lead","Women",20,"POL",46
"Aleksandra Kalucka","speed","Women",21,"POL",1
"Aleksandra Kalucka","speed","Women",21,"POL",1
"Aleksandra Kalucka","speed","Women",21,"POL",1
"Aleksandra Kalucka","speed","Women",21,"POL",1
"Aleksandra Kalucka","speed","Women",21,"POL",1
"Aleksandra Kalucka","speed","Women",21,"POL",1
"Aleksandra Kalucka","speed","Women",21,"POL",1
"Aleksandra Kalucka","speed","Women",21,"POL",1
"Aleksandra Miroslaw","speed","Women",28,"POL",1
"Aleksandra Miroslaw","speed","Women",28,"POL",1
"Aleksandra Miroslaw","speed","Women",28,"POL",1
"Aleksandra Miroslaw","speed","Women",28,"POL",1
"Aleksandra Miroslaw","speed","Women",28,"POL",1
"Aleksandra Totkova","boulder","Women",17,"BGR",31
"Aleksandra Totkova","boulder","Women",17,"BGR",31
"Aleksandra Totkova","boulder","Women",17,"BGR",31
"Aleksandra Totkova","lead","Women",16,"BGR",3
"Aleksandra Totkova","lead","Women",16,"BGR",3
"Aleksandra Totkova","lead","Women",16,"BGR",3
"Aleksandra Totkova","lead","Women",16,"BGR",3
"Aleksandra Totkova","lead","Women",16,"BGR",3
"Aleksandra Totkova","lead","Women",16,"BGR",3
"Aleksandra Totkova","lead","Women",16,"BGR",3
"Aleksandra Totkova","lead","Women",16,"BGR",3
"Aleksandra Totkova","lead","Women",16,"BGR",3
"Aleksey Rubtsov","boulder","Men",33,"RUS",4
"Aleksey Rubtsov","boulder","Men",33,"RUS",4
"Aleksey Rubtsov","boulder","Men",33,"RUS",4
"Aleksey Rubtsov","boulder","Men",33,"RUS",4
"Aleksey Rubtsov","boulder","Men",33,"RUS",4
"Aleksey Rubtsov","lead","Men",34,"RUS",34
"Alessandro Boulos","speed","Men",28,"ITA",26
"Alessandro Boulos","speed","Men",28,"ITA",26
"Alessandro Boulos","speed","Men",28,"ITA",26
"Alessandro Boulos","speed","Men",28,"ITA",26
"Alessandro Cingari","speed","Men",23,"ITA",17
"Alessandro Cingari","speed","Men",23,"ITA",17
"Alessandro Cingari","speed","Men",23,"ITA",17
"Alessandro Cingari","speed","Men",23,"ITA",17
"Alessia Mabboni","boulder","Women",16,"ITA",59
"Alessia Mabboni","lead","Women",16,"ITA",42
"Alex Khazanov","boulder","Men",26,"ISR",19
"Alex Khazanov","boulder","Men",26,"ISR",19
"Alex Khazanov","boulder","Men",26,"ISR",19
"Alex Khazanov","boulder","Men",26,"ISR",19
"Alex Khazanov","boulder","Men",26,"ISR",19
"Alex Khazanov","boulder","Men",26,"ISR",19
"Alex Khazanov","boulder","Men",26,"ISR",19
"Alex Khazanov","boulder","Men",26,"ISR",19
"Alex Khazanov","boulder","Men",26,"ISR",19
"Alex Khazanov","boulder","Men",26,"ISR",19
"Alex Khazanov","lead","Men",26,"ISR",42
"Alex Khazanov","lead","Men",26,"ISR",42
"Alex Khazanov","lead","Men",26,"ISR",42
"Alex Kiechle-Cornish","boulder","Men",23,"NZL",134
"Alex Mendes Júnior","boulder","Men",22,"BRA",85
"Alex Mendes Júnior","lead","Men",22,"BRA",71
"Alex Vivas ","speed","Men",20,"ECU",31
"Alex Waterhouse","boulder","Men",25,"GBR",8
"Alex Waterhouse","boulder","Men",25,"GBR",8
"Alex Waterhouse","boulder","Men",25,"GBR",8
"Alex Waterhouse","boulder","Men",25,"GBR",8
"Alex Waterhouse","boulder","Men",25,"GBR",8
"Alex Waterhouse","boulder","Men",25,"GBR",8
"Alex Waterhouse","boulder","Men",25,"GBR",8
"Alex Waterhouse","boulder","Men",25,"GBR",8
"Alex Waterhouse","lead","Men",25,"GBR",20
"Alex Waterhouse","lead","Men",25,"GBR",20
"Alex Waterhouse","lead","Men",25,"GBR",20
"Alex Waterhouse","lead","Men",25,"GBR",20
"Alex Waterhouse","lead","Men",25,"GBR",20
"Alex Waterhouse","lead","Men",25,"GBR",20
"Alexander Megos","boulder","Men",28,"DEU",8
"Alexander Megos","boulder","Men",28,"DEU",8
"Alexander Megos","boulder","Men",28,"DEU",8
"Alexander Megos","boulder","Men",28,"DEU",8
"Alexander Megos","boulder","Men",28,"DEU",8
"Alexander Megos","boulder","Men",28,"DEU",8
"Alexander Megos","boulder","Men",28,"DEU",8
"Alexander Megos","lead","Men",29,"DEU",2
"Alexander Megos","lead","Men",29,"DEU",2
"Alexander Megos","lead","Men",29,"DEU",2
"Alexander Megos","lead","Men",29,"DEU",2
"Alexander Megos","lead","Men",29,"DEU",2
"Alexander Megos","lead","Men",29,"DEU",2
"Alexander Megos","lead","Men",29,"DEU",2
