"country","Year","discipline","AthleteNo","CountryRankA","CountryRankW","CountryRankB"
"ARG",2021,"boulder",2,54,61,45
"ARG",2021,"lead",1,48,56,33
"ARG",2021,"speed",1,64,64,64
"ARG",2022,"boulder",4,72,129,37
"ARG",2022,"lead",2,61,115,39
"ARG",2022,"speed",1,46,56,36
"AUS",2021,"boulder",2,64,67,58
"AUS",2021,"lead",2,48,78,25
"AUS",2021,"speed",1,38,46,29
"AUS",2022,"boulder",3,59,113,18
"AUS",2022,"lead",2,49,93,27
"AUS",2022,"speed",1,38,61,27
"AUT",2021,"boulder",10,31,93,3
"AUT",2021,"combined",1,1,1,1
"AUT",2021,"lead",8,29,79,1
"AUT",2021,"speed",4,25,68,5
"AUT",2022,"boulder",7,25,109,4
"AUT",2022,"lead",7,27,76,4
"AUT",2022,"speed",2,22,48,2
"BEL",2021,"boulder",5,30,79,5
"BEL",2021,"lead",4,30,69,14
"BEL",2022,"boulder",4,35,79,13
"BEL",2022,"boulder&lead",3,16,19,13
"BEL",2022,"lead",3,35,65,17
"BGR",2021,"boulder",1,75,93,63
"BGR",2021,"lead",1,15,53,3
"BGR",2022,"boulder",4,67,129,20
"BGR",2022,"lead",3,38,107,6
"BLR",2021,"boulder",2,83,93,73
"BLR",2021,"lead",2,79,90,68
"BRA",2021,"boulder",8,77,95,59
"BRA",2021,"lead",3,66,88,50
"BRA",2022,"boulder",4,84,129,45
"BRA",2022,"boulder&lead",2,30,33,27
"BRA",2022,"lead",3,66,107,43
"CAN",2021,"boulder",4,58,90,19
"CAN",2021,"lead",4,37,73,5
"CAN",2021,"speed",3,36,54,12
"CAN",2022,"boulder",9,48,127,9
"CAN",2022,"boulder&lead",2,25,26,24
"CAN",2022,"lead",6,43,89,13
"CAN",2022,"speed",2,26,54,11
"CHE",2021,"boulder",8,37,97,6
"CHE",2021,"lead",7,32,70,3
"CHE",2021,"speed",1,17,17,17
"CHE",2022,"boulder",8,42,89,3
"CHE",2022,"boulder&lead",2,15,16,14
"CHE",2022,"lead",5,30,66,2
"CHL",2021,"boulder",3,60,87,43
"CHL",2021,"lead",4,60,81,20
"CHL",2021,"speed",1,29,40,18
"CHL",2022,"boulder",4,64,111,35
"CHL",2022,"lead",5,62,101,27
"CHL",2022,"speed",1,28,50,20
"CHN",2021,"lead",5,44,62,21
"CHN",2021,"speed",10,16,60,1
"CHN",2022,"boulder",3,39,81,3
"CHN",2022,"boulder&lead",3,21,34,9
"CHN",2022,"lead",9,58,89,19
"CHN",2022,"speed",10,12,48,1
"CZE",2021,"boulder",4,47,97,1
"CZE",2021,"lead",5,33,78,1
"CZE",2021,"speed",1,32,52,17
"CZE",2022,"boulder",2,70,83,21
"CZE",2022,"lead",4,33,93,1
"CZE",2022,"speed",2,42,46,36
"DEU",2021,"boulder",13,29,74,8
"DEU",2021,"combined",5,4,6,1
"DEU",2021,"lead",9,32,70,3
"DEU",2021,"speed",6,25,47,9
"DEU",2022,"boulder",9,30,77,1
"DEU",2022,"boulder&lead",5,20,32,5
"DEU",2022,"lead",8,27,75,2
"DEU",2022,"speed",4,23,51,4
"DNK",2021,"boulder",6,60,103,34
"DNK",2021,"speed",1,36,36,36
"DNK",2022,"boulder",3,85,108,72
"ECU",2021,"boulder",4,66,85,51
"ECU",2021,"combined",3,8,11,5
"ECU",2021,"lead",5,71,91,60
